 Epoch \ PRN        G01        G02        G03        G04        G05        G06        G07        G08        G09        G10        G11        G12        G13        G14        G15        G16        G17        G18        G19        G20        G21        G22        G23        G24        G25        G26        G27        G28        G29        G30        G31        G32
 Epoch 0001:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0002:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0003:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0004:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0005:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0006:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   58.19355    0.00000    0.00000    0.00000    0.00000    0.00000   37.61138    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.74558   27.42456    0.00000    0.00000   27.30561    0.00000   23.95039   19.88069
 Epoch 0007:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   56.82502    0.00000    0.00000    0.00000    0.00000    0.00000   38.95778    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.49219   27.17846    0.00000    0.00000   26.78537    0.00000   23.37137   20.26192
 Epoch 0008:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   55.72879    0.00000    0.00000    0.00000    0.00000    0.00000   39.30334    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.61452   26.32557    0.00000   15.61099   26.12184    0.00000   22.54206   20.33534
 Epoch 0009:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   55.12252    0.00000    0.00000    0.00000    0.00000    0.00000   39.77197    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   19.83727   25.51541    0.00000   15.39232   26.11797    0.00000   21.27715   20.20119
 Epoch 0010:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   55.20012    0.00000    0.00000    0.00000    0.00000    0.00000   39.72303    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   19.23402   25.31833    0.00000   15.92354   25.90539    0.00000   20.49070   20.13365
