 Block           AATR
 Block 01:     0.19429
 Block 02:     0.12121
 Block 03:     0.07829
 Block 04:     0.13745
 Block 05:     0.23257
 Block 06:     0.19471
 Block 07:     0.17703
 Block 08:     0.18671
 Block 09:     0.17049
 Block 10:     0.27685
 Block 11:     0.47944
 Block 12:     0.18664
 Block 13:     0.24089
 Block 14:     0.26722
 Block 15:     0.30598
 Block 16:     0.51270
 Block 17:     0.53777
 Block 18:     0.39347
 Block 19:     0.27540
 Block 20:     0.36963
 Block 21:     0.38435
 Block 22:     0.27913
 Block 23:     0.41776
 Block 24:     0.19776
 Block 25:     0.16834
 Block 26:     0.29890
 Block 27:     0.40375
 Block 28:     0.24307
 Block 29:     0.31161
 Block 30:     0.22406
 Block 31:     0.22083
 Block 32:     0.26382
 Block 33:     0.41882
 Block 34:     0.28028
 Block 35:     0.40027
 Block 36:     0.43197
 Block 37:     0.36900
 Block 38:     0.15465
 Block 39:     0.13083
 Block 40:     0.52393
 Block 41:     0.51601
 Block 42:     0.39572
 Block 43:     0.49190
 Block 44:     0.09307
 Block 45:     0.11755
 Block 46:     0.17785
 Block 47:     0.34382
 Block 48:     0.27004
