 Block           AATR
 Block 01:     0.05564
 Block 02:     0.06126
 Block 03:     0.07530
 Block 04:     0.09727
 Block 05:     0.15343
 Block 06:     0.18253
 Block 07:     0.18276
 Block 08:     0.17962
 Block 09:     0.16741
 Block 10:     0.15153
 Block 11:     0.16112
 Block 12:     0.13797
 Block 13:     0.14240
 Block 14:     0.13315
 Block 15:     0.17743
 Block 16:     0.17915
 Block 17:     0.16601
 Block 18:     0.17529
 Block 19:     0.16922
 Block 20:     0.16872
 Block 21:     0.19012
 Block 22:     0.18887
 Block 23:     0.16815
 Block 24:     0.15982
 Block 25:     0.17807
 Block 26:     0.19762
 Block 27:     0.20966
 Block 28:     0.20358
 Block 29:     0.21777
 Block 30:     0.16982
 Block 31:     0.12049
 Block 32:     0.19726
 Block 33:     0.23259
 Block 34:     0.20210
 Block 35:     0.21395
 Block 36:     0.17504
 Block 37:     0.18184
 Block 38:     0.21294
 Block 39:     0.21971
 Block 40:     0.25826
 Block 41:     0.17757
 Block 42:     0.15092
 Block 43:     0.12676
 Block 44:     0.12730
 Block 45:     0.13384
 Block 46:     0.12469
 Block 47:     0.11755
 Block 48:     0.10025
