 Block           AATR
 Block 01:     0.00000
 Block 02:     0.00000
 Block 03:     0.00000
 Block 04:     0.00000
 Block 05:     0.00000
 Block 06:     0.00000
 Block 07:     0.00000
 Block 08:     0.00000
 Block 09:     0.00000
 Block 10:     0.00000
 Block 11:     0.00000
 Block 12:     0.00000
 Block 13:     0.00000
 Block 14:     0.00000
 Block 15:     0.00000
 Block 16:     0.00000
 Block 17:     0.00000
 Block 18:     0.00000
 Block 19:     0.00000
 Block 20:     0.00000
 Block 21:     0.00000
 Block 22:     0.00000
 Block 23:     0.00000
 Block 24:     0.00000
 Block 25:     0.00000
 Block 26:     0.00000
 Block 27:     0.00000
 Block 28:     0.00000
 Block 29:     0.00000
 Block 30:     0.00000
 Block 31:     0.00000
 Block 32:     0.00000
 Block 33:     0.00000
 Block 34:     0.00000
 Block 35:     0.00000
 Block 36:     0.00000
 Block 37:     0.00000
 Block 38:     0.00000
 Block 39:     0.00000
 Block 40:     0.00000
 Block 41:     0.00000
 Block 42:     0.00000
 Block 43:     0.00000
 Block 44:     0.00000
 Block 45:     0.00000
 Block 46:     0.00000
 Block 47:     0.00000
 Block 48:     0.00000
