 Block           AATR
 Block 01:     0.37234
 Block 02:     0.24852
 Block 03:     0.18434
 Block 04:     0.25246
 Block 05:     0.26695
 Block 06:     0.27773
 Block 07:     0.23550
 Block 08:     0.17674
 Block 09:     0.22168
 Block 10:     0.23880
 Block 11:     0.21899
 Block 12:     0.21781
 Block 13:     0.17188
 Block 14:     0.16902
 Block 15:     0.17765
 Block 16:     0.19046
 Block 17:     0.23366
 Block 18:     0.19089
 Block 19:     0.17642
 Block 20:     0.17264
 Block 21:     0.25520
 Block 22:     0.31847
 Block 23:     0.27953
 Block 24:     0.20171
 Block 25:     0.17927
 Block 26:     0.23921
 Block 27:     0.23913
 Block 28:     0.21067
 Block 29:     0.21410
 Block 30:     0.24278
 Block 31:     0.21109
 Block 32:     0.13959
 Block 33:     0.15602
 Block 34:     0.19633
 Block 35:     0.22857
 Block 36:     0.13849
 Block 37:     0.13311
 Block 38:     0.11446
 Block 39:     0.07256
 Block 40:     0.07067
 Block 41:     0.07376
 Block 42:     0.04041
 Block 43:     0.03477
 Block 44:     0.05158
 Block 45:     0.09003
 Block 46:     0.16352
 Block 47:     0.18338
 Block 48:     0.17101
