 Epoch \ PRN        R01        R02        R03        R04        R05        R06        R07        R08        R09        R10        R11        R12        R13        R14        R15        R16        R17        R18        R19        R20        R21        R22        R23        R24
 Epoch 0001:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0002:   66.17013   65.15357    0.00000    0.00000    0.00000    0.00000    0.00000   88.88128    0.00000    0.00000   67.43555   72.19084    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   79.79897   90.51360    0.00000    0.00000
 Epoch 0003:   65.22377   63.12261    0.00000    0.00000    0.00000    0.00000    0.00000   91.64899    0.00000    0.00000   69.78394   73.01783    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   82.64681   97.91933    0.00000    0.00000
 Epoch 0004:   67.49650   66.14638    0.00000    0.00000    0.00000    0.00000    0.00000   92.72198    0.00000    0.00000   70.40633   70.66292    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   84.87584   99.80837    0.00000    0.00000
 Epoch 0005:   68.44150   70.32134    0.00000    0.00000    0.00000    0.00000    0.00000   86.44877    0.00000    0.00000   71.47080   71.51920    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   86.26588  110.78635    0.00000    0.00000
 Epoch 0006:   68.29293   69.52858    0.00000    0.00000    0.00000    0.00000    0.00000   85.38455    0.00000    0.00000   70.84162   70.54530    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   85.52175  109.76301    0.00000    0.00000
 Epoch 0007:   68.60616   68.87490    0.00000    0.00000    0.00000    0.00000    0.00000   83.69277    0.00000    0.00000   69.00486   70.97945    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   82.77676  107.04886    0.00000    0.00000
 Epoch 0008:   68.63688   69.00826    0.00000    0.00000    0.00000    0.00000    0.00000   82.17319    0.00000    0.00000   68.83267   71.56602    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   81.16849  105.22320    0.00000    0.00000
 Epoch 0009:   69.01965   69.80969    0.00000    0.00000    0.00000    0.00000    0.00000   81.19834    0.00000    0.00000   69.10602   72.55007    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   79.53540  103.40187    0.00000    0.00000
 Epoch 0010:   69.24198   70.64339    0.00000    0.00000    0.00000    0.00000    0.00000   80.52549    0.00000    0.00000   69.53709   72.99711    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   79.42656  102.85074    0.00000    0.00000
