 Epoch \ PRN        G01        G02        G03        G04        G05        G06        G07        G08        G09        G10        G11        G12        G13        G14        G15        G16        G17        G18        G19        G20        G21        G22        G23        G24        G25        G26        G27        G28        G29        G30        G31        G32
 Epoch 0001:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0002:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   54.53403    0.00000    0.00000    0.00000    0.00000    0.00000   41.79762    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.21836   29.48066    0.00000   14.63099   29.19839    0.00000   16.37012   20.70926
 Epoch 0003:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   56.50668    0.00000    0.00000    0.00000    0.00000    0.00000   45.64785    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   19.96498   28.85538    0.00000   13.86525   29.73344    0.00000   17.64703   20.37552
 Epoch 0004:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   55.40917    0.00000    0.00000    0.00000    0.00000    0.00000   41.73311    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.18572   27.17565    0.00000   12.62242   29.14744    0.00000   18.40944   20.28373
 Epoch 0005:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   55.02622    0.00000    0.00000    0.00000    0.00000    0.00000   42.24402    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   23.16219   25.96920    0.00000   13.07705   26.22680    0.00000   20.21601   21.89172
 Epoch 0006:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   53.87735    0.00000    0.00000    0.00000    0.00000    0.00000   42.79475    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   22.76414   26.02715    0.00000   13.14517   26.02803    0.00000   20.04749   22.48750
 Epoch 0007:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   52.70690    0.00000    0.00000    0.00000    0.00000    0.00000   42.66032    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.83154   26.20845    0.00000   13.36272   24.80986    0.00000   20.54848   22.89748
 Epoch 0008:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   51.68104    0.00000    0.00000    0.00000    0.00000    0.00000   42.41206    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.22342   26.04775    0.00000   13.51065   23.72383    0.00000   20.96482   22.57151
 Epoch 0009:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   50.67076    0.00000    0.00000    0.00000    0.00000    0.00000   42.33800    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.40879   26.35508    0.00000   13.63639   22.42715    0.00000   21.16297   21.97221
 Epoch 0010:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   50.17578    0.00000    0.00000    0.00000    0.00000    0.00000   41.71517    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.48304   26.22796    0.00000   13.85926   22.26149    0.00000   21.19031   21.70344
 Epoch 0011:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   49.92368    0.00000    0.00000    0.00000    0.00000    0.00000   41.04337    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.29524   25.90454    0.00000   14.35308   22.68802    0.00000   21.39164   21.37556
 Epoch 0012:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   49.96777    0.00000    0.00000    0.00000    0.00000    0.00000   40.52545    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.85608   25.86755    0.00000   14.83038   22.88305    0.00000   21.57799   21.40253
 Epoch 0013:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   50.11185    0.00000    0.00000    0.00000    0.00000    0.00000   40.16404    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.58806   25.84702    0.00000   14.93771   22.62021    0.00000   21.41849   21.30154
 Epoch 0014:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   50.37507    0.00000    0.00000    0.00000    0.00000    0.00000   40.31276    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.11226   26.06031    0.00000   14.77266   22.13420    0.00000   21.59301   21.18510
 Epoch 0015:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   50.56737    0.00000    0.00000    0.00000    0.00000    0.00000   40.39649    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.10290   26.06109    0.00000   14.71625   21.88629    0.00000   21.80355   21.08221
 Epoch 0016:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   50.76457    0.00000    0.00000    0.00000    0.00000    0.00000   40.49626    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.31320   26.02986    0.00000   14.79856   21.77818    0.00000   21.75022   21.01240
 Epoch 0017:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   50.81922    0.00000    0.00000    0.00000    0.00000    0.00000   40.37405    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.40870   25.84227    0.00000   14.81223   21.75122    0.00000   21.54119   20.91510
 Epoch 0018:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   50.96365    0.00000    0.00000    0.00000    0.00000    0.00000   40.33388    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.48063   25.80600    0.00000   14.92526   21.82918    0.00000   21.64889   20.98117
 Epoch 0019:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   51.23835    0.00000    0.00000    0.00000    0.00000    0.00000   40.19603    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.62325   25.78177    0.00000   14.98061   21.98006    0.00000   21.61034   21.09382
 Epoch 0020:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   51.33061    0.00000    0.00000    0.00000    0.00000    0.00000   39.98234    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.62798   25.59294    0.00000   14.84815   22.06434    0.00000   21.38450   21.10526
 Epoch 0021:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   51.60230    0.00000    0.00000    0.00000    0.00000    0.00000   39.81940    0.00000   53.09266    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.67396   25.50964    0.00000   14.75419   22.04853    0.00000   21.27655   21.13903
 Epoch 0022:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   51.67784    0.00000    0.00000    0.00000    0.00000    0.00000   39.71489    0.00000   53.03502    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.76405   25.45468    0.00000   14.68190   21.93848    0.00000   21.31552   21.07344
 Epoch 0023:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   51.79282    0.00000    0.00000    0.00000    0.00000    0.00000   39.56307    0.00000   51.95455    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.69477   25.36825    0.00000   14.67234   21.79208    0.00000   21.16245   21.06099
 Epoch 0024:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   51.96877    0.00000    0.00000    0.00000    0.00000    0.00000   39.55410    0.00000   51.77738    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.70445   25.45376    0.00000   14.76570   21.80831    0.00000   21.12150   21.22323
 Epoch 0025:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   52.06046    0.00000    0.00000    0.00000    0.00000    0.00000   39.43367    0.00000   51.22125    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.67688   25.51158    0.00000   14.83793   21.75119    0.00000   21.08297   21.31971
 Epoch 0026:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   52.07188    0.00000    0.00000    0.00000    0.00000    0.00000   39.19061    0.00000   50.52677    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.64035   25.44555    0.00000   14.76548   21.59892    0.00000   21.05620   21.28774
 Epoch 0027:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   52.09085    0.00000    0.00000    0.00000    0.00000    0.00000   39.03831    0.00000   50.07258    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.66937   25.44229    0.00000   14.79321   21.58838    0.00000   21.07489   21.34665
 Epoch 0028:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   52.05287    0.00000    0.00000    0.00000    0.00000    0.00000   38.80527    0.00000   49.82105    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.64646   25.28823    0.00000   14.77112   21.52678    0.00000   20.91499   21.28178
 Epoch 0029:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   52.13827    0.00000    0.00000    0.00000    0.00000    0.00000   38.62776    0.00000   49.67449    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.64197   25.21413   56.74529   14.80248   21.56237    0.00000   20.89771   21.33262
 Epoch 0030:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   52.13694    0.00000    0.00000    0.00000    0.00000    0.00000   38.46524    0.00000   49.54517    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   21.67351   25.15131   59.43146   14.84695   21.58666    0.00000   20.92528   21.40158
