 Epoch \ PRN        R01        R02        R03        R04        R05        R06        R07        R08        R09        R10        R11        R12        R13        R14        R15        R16        R17        R18        R19        R20        R21        R22        R23        R24
 Epoch 0001:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0002:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   68.62918   89.59412   93.10381    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  103.68302    0.00000    0.00000    0.00000    0.00000   57.28567   54.99957    0.00000    0.00000
 Epoch 0003:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   69.32062   92.07437   95.12388    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  106.73612    0.00000    0.00000    0.00000    0.00000   57.45064   54.85642    0.00000    0.00000
 Epoch 0004:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   69.19741   91.68218   95.71211    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  106.57892    0.00000    0.00000    0.00000    0.00000   57.78506   53.95463    0.00000    0.00000
 Epoch 0005:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   68.35249   92.97383   96.92689    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  105.46503    0.00000    0.00000    0.00000    0.00000   58.81117   52.44202    0.00000    0.00000
 Epoch 0006:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   67.53709   94.56663   98.47615    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  105.43809    0.00000    0.00000    0.00000    0.00000   59.85808   51.45258    0.00000    0.00000
 Epoch 0007:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   66.54989   94.76378   99.50956    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  105.61384    0.00000    0.00000    0.00000    0.00000   60.69345   51.17401    0.00000    0.00000
 Epoch 0008:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   66.26113   95.46063   99.17816    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  105.59550    0.00000    0.00000    0.00000    0.00000   60.93978   51.64898    0.00000    0.00000
 Epoch 0009:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   65.99746   95.37108   99.43150    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  105.84894    0.00000    0.00000    0.00000    0.00000   61.34752   51.96918    0.00000    0.00000
 Epoch 0010:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   66.07043   95.67630   99.30090    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000  105.90232    0.00000    0.00000    0.00000    0.00000   61.75506   52.28155    0.00000    0.00000
