 Epoch \ PRN        G01        G02        G03        G04        G05        G06        G07        G08        G09        G10        G11        G12        G13        G14        G15        G16        G17        G18        G19        G20        G21        G22        G23        G24        G25        G26        G27        G28        G29        G30        G31        G32
 Epoch 0001:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0002:    0.00000    0.00000    0.00000    0.00000   69.45121    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   78.67802    0.00000   42.41566    0.00000    0.00000   32.67002    0.00000    0.00000    0.00000    0.00000   54.21069   36.64293    0.00000    0.00000    0.00000    0.00000   54.44196    0.00000    0.00000    0.00000
 Epoch 0003:    0.00000    0.00000    0.00000    0.00000   70.79808    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   82.70764    0.00000   41.48607    0.00000    0.00000   32.31659    0.00000    0.00000    0.00000    0.00000   54.63432   36.69377    0.00000    0.00000    0.00000    0.00000   56.80811    0.00000    0.00000    0.00000
 Epoch 0004:    0.00000    0.00000    0.00000    0.00000   72.26130    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   83.96525    0.00000   40.36360    0.00000    0.00000   31.79580    0.00000    0.00000    0.00000    0.00000   54.59990   36.66724    0.00000    0.00000    0.00000    0.00000   57.80700    0.00000    0.00000    0.00000
 Epoch 0005:    0.00000    0.00000    0.00000    0.00000   75.31239    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   84.59555    0.00000   38.77546    0.00000    0.00000   31.00799    0.00000    0.00000    0.00000    0.00000   56.40248   35.71242    0.00000    0.00000    0.00000    0.00000   62.97492    0.00000    0.00000    0.00000
 Epoch 0006:    0.00000    0.00000    0.00000    0.00000   77.85334    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   85.75808    0.00000   37.26243    0.00000    0.00000   30.31638    0.00000    0.00000    0.00000    0.00000   57.35864   35.22528    0.00000    0.00000    0.00000    0.00000   66.88931    0.00000    0.00000    0.00000
 Epoch 0007:    0.00000    0.00000    0.00000    0.00000   79.43360    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   86.32591    0.00000   36.19651    0.00000    0.00000   29.85018    0.00000    0.00000    0.00000    0.00000   56.97528   35.41104    0.00000    0.00000    0.00000    0.00000   68.31599    0.00000    0.00000    0.00000
 Epoch 0008:    0.00000    0.00000    0.00000    0.00000   79.43192    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   86.67732    0.00000   35.66034    0.00000    0.00000   29.86903    0.00000    0.00000    0.00000    0.00000   56.96114   35.22601    0.00000    0.00000    0.00000    0.00000   68.82812    0.00000    0.00000    0.00000
 Epoch 0009:    0.00000    0.00000    0.00000    0.00000   80.03099    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   87.01586    0.00000   35.35385    0.00000    0.00000   29.63227    0.00000    0.00000    0.00000    0.00000   56.40796   35.19716    0.00000    0.00000    0.00000    0.00000   69.21555    0.00000    0.00000    0.00000
 Epoch 0010:    0.00000    0.00000    0.00000    0.00000   80.09468    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   87.10509    0.00000   35.21268    0.00000    0.00000   29.54133    0.00000    0.00000    0.00000    0.00000   56.14442   35.05248    0.00000    0.00000    0.00000    0.00000   69.86133    0.00000    0.00000    0.00000
 Epoch 0011:    0.00000    0.00000    0.00000    0.00000   80.17889    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   87.36218    0.00000   35.69988    0.00000    0.00000   29.48531    0.00000    0.00000    0.00000    0.00000   56.25691   34.66539    0.00000    0.00000    0.00000    0.00000   70.65978    0.00000    0.00000    0.00000
 Epoch 0012:    0.00000    0.00000    0.00000    0.00000   80.32646    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   87.40337    0.00000   36.56631    0.00000    0.00000   29.46142    0.00000    0.00000    0.00000    0.00000   56.25625   34.44233    0.00000    0.00000    0.00000    0.00000   71.61552    0.00000    0.00000    0.00000
 Epoch 0013:    0.00000    0.00000    0.00000    0.00000   80.41729    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   87.28850    0.00000   37.46614    0.00000    0.00000   29.48387    0.00000    0.00000    0.00000    0.00000   56.13095   34.32628    0.00000    0.00000    0.00000    0.00000   72.52103    0.00000    0.00000    0.00000
 Epoch 0014:    0.00000    0.00000    0.00000    0.00000   80.41644    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   87.29287    0.00000   37.99752    0.00000    0.00000   29.61569    0.00000    0.00000    0.00000    0.00000   56.25610   34.19856    0.00000    0.00000    0.00000    0.00000   73.56485    0.00000    0.00000    0.00000
 Epoch 0015:    0.00000    0.00000    0.00000    0.00000   80.96092    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   87.62999    0.00000   38.48335    0.00000    0.00000   29.70090    0.00000    0.00000    0.00000    0.00000   56.21818   34.24440    0.00000    0.00000    0.00000    0.00000   74.28236    0.00000    0.00000    0.00000
 Epoch 0016:    0.00000    0.00000    0.00000    0.00000   82.17880    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   88.05387    0.00000   38.88331    0.00000    0.00000   29.69503    0.00000    0.00000    0.00000    0.00000   56.07720   34.14286    0.00000    0.00000    0.00000    0.00000   74.85360    0.00000    0.00000    0.00000
 Epoch 0017:    0.00000    0.00000    0.00000    0.00000   83.70557    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   88.30855    0.00000   39.18835    0.00000    0.00000   29.75753    0.00000    0.00000    0.00000    0.00000   55.97233   33.90519    0.00000    0.00000    0.00000    0.00000   75.62189    0.00000    0.00000    0.00000
 Epoch 0018:    0.00000    0.00000    0.00000    0.00000   85.02031    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   88.58011    0.00000   39.37805    0.00000    0.00000   29.77583    0.00000    0.00000    0.00000    0.00000   55.82576   33.77289    0.00000    0.00000    0.00000    0.00000   76.16523    0.00000    0.00000    0.00000
