 Epoch \ PRN        R01        R02        R03        R04        R05        R06        R07        R08        R09        R10        R11        R12        R13        R14        R15        R16        R17        R18        R19        R20        R21        R22        R23        R24
 Epoch 0001:     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
 Epoch 0002:    -0.0318    -0.0672     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3501     0.0000     0.0000     0.0438     0.2835     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.4339     0.5755     0.0000     0.0000
 Epoch 0003:    -0.0954    -0.0614     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3908     0.0000     0.0000    -0.0151     0.1918     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.2866     0.4208     0.0000     0.0000
 Epoch 0004:     0.0214     0.2275     0.0000     0.0000     0.0000     0.0000     0.0000    -0.2513     0.0000     0.0000    -0.0448     0.1517     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.4751     0.6187     0.0000     0.0000
 Epoch 0005:     0.0162    -0.0396     0.0000     0.0000     0.0000     0.0000     0.0000    -0.2649     0.0000     0.0000     0.0255     0.1376     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.5169     0.5625     0.0000     0.0000
 Epoch 0006:    -0.1215    -0.0849     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3971     0.0000     0.0000    -0.1230    -0.1574     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.1681     0.6682     0.0000     0.0000
 Epoch 0007:    -0.0579     0.1421     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4263     0.0000     0.0000    -0.0381     0.0167     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.3618     0.5500     0.0000     0.0000
 Epoch 0008:    -0.0636    -0.0224     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3762     0.0000     0.0000    -0.0422     0.1970     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.5467     0.5292     0.0000     0.0000
 Epoch 0009:    -0.0287     0.1572     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3093     0.0000     0.0000     0.0141     0.1511     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.4464     0.7990     0.0000     0.0000
 Epoch 0010:    -0.0720    -0.1359     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4598     0.0000     0.0000    -0.0198     0.3940     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.1812     0.5318     0.0000     0.0000
 Epoch 0011:    -0.0621    -0.0458     0.0000     0.0000     0.0000     0.0000     0.0000    -0.2727     0.0000     0.0000     0.0115     0.2882     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.3707     0.6896     0.0000     0.0000
 Epoch 0012:     0.0104     0.0625     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3396     0.0000     0.0000     0.0328     0.1412     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.4610     0.5786     0.0000     0.0000
 Epoch 0013:    -0.0370     0.1255     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3626     0.0000     0.0000    -0.0938     0.1485     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.3529     0.6615     0.0000     0.0000
 Epoch 0014:    -0.0715    -0.1281     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4655     0.0000     0.0000    -0.0740    -0.0678     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.3049     0.5156     0.0000     0.0000
 Epoch 0015:    -0.0381     0.0203     0.0000     0.0000     0.0000     0.0000     0.0000    -0.2764     0.0000     0.0000     0.0923     0.2173     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.3409     0.7250     0.0000     0.0000
 Epoch 0016:    -0.1429     0.0411     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3051     0.0000     0.0000    -0.1778     0.0615     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.2840     0.6339     0.0000     0.0000
 Epoch 0017:    -0.0548    -0.2103     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4770     0.0000     0.0000    -0.0667     0.2455     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.2250     0.5609     0.0000     0.0000
 Epoch 0018:    -0.0673     0.1380     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4342     0.0000     0.0000     0.1001     0.1564     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.3101     0.6521     0.0000     0.0000
 Epoch 0019:    -0.0558     0.1177     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3454     0.0000     0.0000    -0.0594     0.2465     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.3357     0.6307     0.0000     0.0000
 Epoch 0020:    -0.0709     0.0573     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4091     0.0000     0.0000    -0.0579     0.1657     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.5018     0.5635     0.0000     0.0000
 Epoch 0021:    -0.0819    -0.1401     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4629     0.0000     0.0000    -0.0422    -0.0266     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.1008     0.5526     0.0000     0.0000
 Epoch 0022:    -0.0626    -0.0016     0.0000     0.0000     0.0000     0.0000     0.0000    -0.2696     0.0000     0.0000    -0.0255     0.1204     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.4501     0.5365     0.0000     0.0000
