 Epoch \ PRN        G01        G02        G03        G04        G05        G06        G07        G08        G09        G10        G11        G12        G13        G14        G15        G16        G17        G18        G19        G20        G21        G22        G23        G24        G25        G26        G27        G28        G29        G30        G31        G32
 Epoch 0001:     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000
 Epoch 0002:     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1634     0.0000     0.0000     0.0000     0.0000     0.0000     0.4477     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0097     0.1055     0.0000     0.0789     0.0963     0.0000     0.0331    -0.0269
 Epoch 0003:     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.2632     0.0000     0.0000     0.0000     0.0000     0.0000     0.3837     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0466     0.1140     0.0000     0.0057     0.0636     0.0000     0.0143    -0.0594
 Epoch 0004:     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.2240     0.0000     0.0000     0.0000     0.0000     0.0000     0.4675     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1308     0.0068     0.0000    -0.0409     0.0930     0.0000     0.1296    -0.0437
 Epoch 0005:     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1191     0.0000     0.0000     0.0000     0.0000     0.0000     0.5395     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0207     0.0895     0.0000     0.0871     0.1028     0.0000     0.2189    -0.0219
 Epoch 0006:     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.2726     0.0000     0.0000     0.0000     0.0000     0.0000     0.4227     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0645     0.1255     0.0000     0.0132     0.0867     0.0000     0.1560    -0.0121
 Epoch 0007:     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1736     0.0000     0.0000     0.0000     0.0000     0.0000     0.3673     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0310     0.1960     0.0000     0.0568     0.0978     0.0000     0.0761     0.0172
 Epoch 0008:     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1715     0.0000     0.0000     0.0000     0.0000     0.0000     0.3636     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0554     0.2478     0.0000     0.0275     0.0283     0.0000     0.0566    -0.0356
 Epoch 0009:     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.2709     0.0000     0.0000     0.0000     0.0000     0.0000     0.3042     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1291     0.2281     0.0000    -0.0050     0.1414     0.0000     0.0156    -0.0699
 Epoch 0010:     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.2233     0.0000     0.0000     0.0000     0.0000     0.0000     0.4164     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0417     0.1719     0.0000     0.0149     0.0600     0.0000    -0.0130    -0.0447
 Epoch 0011:     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1440     0.0000     0.0000     0.0000     0.0000     0.0000     0.3685     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.0113     0.2467     0.0000     0.0404     0.0874     0.0000     0.1136    -0.0549
 Epoch 0012:     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1302     0.0000     0.0000     0.0000     0.0000     0.0000     0.4435     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0313     0.2561     0.0000     0.0705     0.1212     0.0000     0.1588    -0.0243
 Epoch 0013:     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.2219     0.0000     0.0000     0.0000     0.0000     0.0000     0.4572     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.1053     0.0937     0.0000     0.0451     0.0659     0.0000     0.0669    -0.0418
