 Epoch \ PRN        G01        G02        G03        G04        G05        G06        G07        G08        G09        G10        G11        G12        G13        G14        G15        G16        G17        G18        G19        G20        G21        G22        G23        G24        G25        G26        G27        G28        G29        G30        G31        G32
 Epoch 0001:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0002:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0003:    9.11056    0.00000   18.50557    0.00000    0.00000   24.11218   25.12771   12.00162    0.00000    0.00000    0.00000    0.00000    0.00000    4.97385    0.00000    0.00000   12.50357    0.00000   15.69240    0.00000   10.93782    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   18.54870    0.00000    0.00000
 Epoch 0004:    9.25786    0.00000   19.02219    0.00000    0.00000   25.75064   24.53447   12.33840    0.00000    0.00000    0.00000    0.00000    0.00000    4.91946    0.00000    0.00000   12.86349    0.00000   16.48972    0.00000   11.06739    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   18.17544    0.00000    0.00000
 Epoch 0005:   10.10053    0.00000   18.41523    0.00000    0.00000   25.53623   23.64692   22.22528    0.00000    0.00000    0.00000    0.00000    0.00000    6.19855    0.00000    0.00000   12.59329    0.00000   17.47268    0.00000   12.08526    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   17.13400    0.00000    0.00000
 Epoch 0006:   10.25354    0.00000   17.87694    0.00000    0.00000   23.80659   22.41803   23.22641    0.00000    0.00000    0.00000    0.00000    0.00000    6.11910    0.00000    0.00000   12.50413    0.00000   17.08916    0.00000   12.60809    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   16.24900    0.00000    0.00000
 Epoch 0007:   10.33603    0.00000   17.42550    0.00000    0.00000   23.24372   21.83505   23.93300    0.00000    0.00000    0.00000    0.00000    0.00000    6.21081    0.00000    0.00000   12.57960    0.00000   17.31949    0.00000   12.96068    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   15.97507    0.00000    0.00000
 Epoch 0008:    9.91174    0.00000   16.84910    0.00000    0.00000   23.76334   22.24354   23.67016    0.00000    0.00000    0.00000    0.00000    0.00000    6.20350    0.00000    0.00000   12.84959    0.00000   17.85285    0.00000   12.80069    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   16.41015    0.00000    0.00000
 Epoch 0009:   10.02210    0.00000   16.60682    0.00000    0.00000   23.35401   22.16580   23.99815    0.00000    0.00000    0.00000    0.00000    0.00000    6.16236    0.00000    0.00000   12.74150    0.00000   17.61591    0.00000   12.80173    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   16.25930    0.00000    0.00000
 Epoch 0010:   10.38958    0.00000   16.53480    0.00000    0.00000   22.74896   21.76553   24.01691    0.00000    0.00000    0.00000    0.00000    0.00000    6.37271    0.00000    0.00000   12.86431    0.00000   17.46440    0.00000   13.18592    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   16.02135    0.00000    0.00000
