 Epoch \ PRN        G01        G02        G03        G04        G05        G06        G07        G08        G09        G10        G11        G12        G13        G14        G15        G16        G17        G18        G19        G20        G21        G22        G23        G24        G25        G26        G27        G28        G29        G30        G31        G32
 Epoch 0001:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0002:    0.00000    0.00000    0.00000   14.49671    0.00000   25.99785   20.85385    0.00000   13.72583    0.00000    9.49557    0.00000    0.00000    0.00000    0.00000   19.45646    0.00000    0.00000    0.00000   14.55860    0.00000    0.00000    0.00000    0.00000    0.00000   21.74054    0.00000    0.00000   26.77211   31.91477    0.00000    0.00000
 Epoch 0003:    0.00000    0.00000    0.00000   13.19090    0.00000   26.34839   20.82909    0.00000   14.28594    0.00000   10.95769    0.00000    0.00000    0.00000    0.00000   18.22639    0.00000    0.00000    0.00000   16.49199    0.00000    0.00000    0.00000    0.00000    0.00000   21.69213    0.00000    0.00000   23.93525   31.66767    0.00000    0.00000
 Epoch 0004:    0.00000    0.00000    0.00000   12.37747    0.00000   27.30639   20.51032    0.00000   13.85784    0.00000   12.62170    0.00000    0.00000    0.00000    0.00000   16.89124    0.00000    0.00000    0.00000   18.12563    0.00000    0.00000    0.00000    0.00000    0.00000   20.28132    0.00000    0.00000   23.36430   31.45784    0.00000    0.00000
 Epoch 0005:    0.00000    0.00000    0.00000   11.48754    0.00000   27.28637   20.50139    0.00000   13.85583    0.00000   12.74453    0.00000    0.00000    0.00000    0.00000   16.34682    0.00000    0.00000    0.00000   16.85279    0.00000    0.00000    0.00000    0.00000    0.00000   21.24090    0.00000    0.00000   24.89037   31.31087    0.00000    0.00000
 Epoch 0006:    0.00000    0.00000    0.00000   12.49218    0.00000   25.69155   19.09079    0.00000   14.24067    0.00000   13.01743    0.00000    0.00000    0.00000    0.00000   17.35803    0.00000    0.00000    0.00000   17.84868    0.00000    0.00000    0.00000    0.00000    0.00000   25.31114    0.00000    0.00000   27.65437   29.13666    0.00000    0.00000
 Epoch 0007:    0.00000    0.00000    0.00000   13.25048   29.35681   25.50511   18.80295    0.00000   14.36749    0.00000   13.19825    0.00000    0.00000    0.00000    0.00000   19.04986    0.00000    0.00000    0.00000   18.62387    0.00000    0.00000    0.00000    0.00000    0.00000   27.46024    0.00000    0.00000   29.98746   28.90314    0.00000    0.00000
 Epoch 0008:    0.00000    0.00000    0.00000   13.39952   27.50831   25.24748   18.49898    0.00000   14.43141    0.00000   13.42350    0.00000    0.00000    0.00000    0.00000   19.57021    0.00000    0.00000    0.00000   19.00395    0.00000    0.00000    0.00000    0.00000    0.00000   28.56426    0.00000    0.00000   30.87241   28.44279    0.00000    0.00000
 Epoch 0009:    0.00000    0.00000    0.00000   13.72536   27.93053   25.22422   18.45523    0.00000   14.60652    0.00000   13.61146    0.00000    0.00000    0.00000    0.00000   19.92154    0.00000    0.00000    0.00000   19.12808    0.00000    0.00000    0.00000    0.00000    0.00000   29.33946    0.00000    0.00000   31.93287   28.21019    0.00000    0.00000
 Epoch 0010:    0.00000    0.00000    0.00000   14.01723   29.68659   25.00128   18.40083    0.00000   14.62334    0.00000   13.10993    0.00000    0.00000    0.00000    0.00000   20.36405    0.00000    0.00000    0.00000   18.68708    0.00000    0.00000    0.00000    0.00000    0.00000   30.12181    0.00000    0.00000   32.80660   28.04376    0.00000    0.00000
