 Epoch \ PRN        G01        G02        G03        G04        G05        G06        G07        G08        G09        G10        G11        G12        G13        G14        G15        G16        G17        G18        G19        G20        G21        G22        G23        G24        G25        G26        G27        G28        G29        G30        G31        G32
 Epoch 0001:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0002:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0003:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0004:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0005:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0006:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   58.16467    0.00000    0.00000    0.00000    0.00000    0.00000   37.59271    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.73528   27.41095    0.00000    0.00000   27.29205    0.00000   23.93851   19.87082
 Epoch 0007:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   56.79682    0.00000    0.00000    0.00000    0.00000    0.00000   38.93845    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.48202   27.16497    0.00000    0.00000   26.77208    0.00000   23.35977   20.25187
 Epoch 0008:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   55.70113    0.00000    0.00000    0.00000    0.00000    0.00000   39.28383    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   20.60429   26.31251    0.00000   15.60325   26.10887    0.00000   22.53088   20.32524
 Epoch 0009:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   55.09516    0.00000    0.00000    0.00000    0.00000    0.00000   39.75223    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   19.82742   25.50275    0.00000   15.38468   26.10501    0.00000   21.26660   20.19116
 Epoch 0010:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   55.17272    0.00000    0.00000    0.00000    0.00000    0.00000   39.70332    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   19.22447   25.30577    0.00000   15.91564   25.89254    0.00000   20.48054   20.12365
