       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
  -14.748554   -0.294348  -30.663745  -50.897880   10.042965  -71.844175   33.752405   30.735306  -44.102106  -12.746967  -48.312343  -35.478666   55.606150   50.936453   21.802950  -16.581988  -23.133027   -7.974747  -55.498964  -23.330449    3.916268   30.511045   -2.648766  -10.160580  -23.911618  -19.088811   -3.478530  -22.313499  -19.900888   63.710027  -22.941903  -18.985118
  -14.554986   -0.119225  -30.578560  -50.842532    9.812909  -71.984419   33.492025   30.596807  -44.367279  -12.698871  -48.435755  -35.540979   55.712106   51.200208   22.033198  -16.613896  -22.808276   -8.044463  -55.192885  -23.593429    4.066785   30.810303   -2.535482  -10.029284  -23.934452  -19.105897   -3.632413  -22.307530  -19.918688   63.495340  -22.940487  -18.971272
  -14.361071    0.055657  -30.494047  -50.784600    9.582370  -72.124988   33.231473   30.456543  -44.631499  -12.650449  -48.559282  -35.602337   55.815212   51.463196   22.262905  -16.645582  -22.483530   -8.114157  -54.886474  -23.856192    4.216753   31.109291   -2.422003   -9.897168  -23.957348  -19.122927   -3.785090  -22.301490  -19.936505   63.279415  -22.938965  -18.957410
  -14.166816    0.230292  -30.410200  -50.724107    9.351357  -72.265880   32.970750   30.314530  -44.894748  -12.601699  -48.682931  -35.662720   55.915436   51.725404   22.492053  -16.677049  -22.158789   -8.183821  -54.579739  -24.118734    4.366162   31.408008   -2.308341   -9.764232  -23.980306  -19.139903   -3.936552  -22.295380  -19.954340   63.062278  -22.937339  -18.943531
  -13.972225    0.404670  -30.327011  -50.661075    9.119880  -72.407093   32.709857   30.170786  -45.157008  -12.552619  -48.806710  -35.722109   56.012748   51.986818   22.720623  -16.708300  -21.834058   -8.253451  -54.272684  -24.381051    4.515003   31.706450   -2.194512   -9.630476  -24.003326  -19.156825   -4.086791  -22.289199  -19.972193   62.843956  -22.935608  -18.929634
  -13.777305    0.578785  -30.244474  -50.595528    8.887946  -72.548624   32.448797   30.025326  -45.418260  -12.503208  -48.930625  -35.780482   56.107117   52.247424   22.948597  -16.739339  -21.509336   -8.323040  -53.965316  -24.643139    4.663266   32.004614   -2.080528   -9.495899  -24.026408  -19.173692   -4.235799  -22.282950  -19.990065   62.624472  -22.933773  -18.915719
  -13.582060    0.752627  -30.162581  -50.527489    8.655566  -72.690470   32.187570   29.878167  -45.678485  -12.453463  -49.054682  -35.837820   56.198514   52.507208   23.175956  -16.770167  -21.184626   -8.392582  -53.657639  -24.904995    4.810943   32.302499   -1.966405   -9.360499  -24.049552  -19.190507   -4.383568  -22.276631  -20.007958   62.403852  -22.931835  -18.901785
  -13.386497    0.926189  -30.081325  -50.456984    8.422746  -72.832628   31.926178   29.729327  -45.937665  -12.403383  -49.178890  -35.894104   56.286909   52.766156   23.402681  -16.800788  -20.859930   -8.462071  -53.349660  -25.166614    4.958023   32.600101   -1.852158   -9.224278  -24.072756  -19.207268   -4.530092  -22.270243  -20.025871   62.182119  -22.929795  -18.887832
  -13.190622    1.099462  -30.000698  -50.384037    8.189497  -72.975094   31.664621   29.578823  -46.195778  -12.352966  -49.303254  -35.949313   56.372274   53.024253   23.628753  -16.831206  -20.535250   -8.531503  -53.041383  -25.427993    5.104498   32.897418   -1.737800   -9.087235  -24.096021  -19.223976   -4.675364  -22.263788  -20.043807   61.959297  -22.927652  -18.873861
  -12.994439    1.272439  -29.920695  -50.308675    7.955827  -73.117865   31.402902   29.426671  -46.452806  -12.302211  -49.427781  -36.003430   56.454580   53.281483   23.854155  -16.861421  -20.210588   -8.600870  -52.732814  -25.689127    5.250358   33.194447   -1.623346   -8.949369  -24.119346  -19.240632   -4.819380  -22.257264  -20.061765   61.735408  -22.925408  -18.859869
  -12.797955    1.445110  -29.841306  -50.230923    7.721743  -73.260934   31.141022   29.272890  -46.708728  -12.251116  -49.552478  -36.056434   56.533801   53.537832   24.078867  -16.891438  -19.885945   -8.670167  -52.423957  -25.950013    5.395595   33.491185   -1.508813   -8.810680  -24.142732  -19.257236   -4.962134  -22.250674  -20.079747   61.510475  -22.923063  -18.845858
  -12.601176    1.617469  -29.762527  -50.150808    7.487255  -73.404299   30.878981   29.117495  -46.963523  -12.199679  -49.677353  -36.108307   56.609908   53.793284   24.302870  -16.921259  -19.561324   -8.739390  -52.114818  -26.210646    5.540197   33.787630   -1.394213   -8.671168  -24.166177  -19.273789   -5.103621  -22.244016  -20.097753   61.284518  -22.920617  -18.831826
  -12.404107    1.789506  -29.684348  -50.068357    7.252371  -73.547953   30.616782   28.960505  -47.217170  -12.147898  -49.802411  -36.159030   56.682876   54.047821   24.526146  -16.950887  -19.236726   -8.808532  -51.805402  -26.471024    5.684157   34.083778   -1.279564   -8.530832  -24.189682  -19.290290   -5.243839  -22.237291  -20.115784   61.057558  -22.918072  -18.817774
  -12.206755    1.961213  -29.606764  -49.983600    7.017099  -73.691890   30.354425   28.801938  -47.469648  -12.095773  -49.927660  -36.208585   56.752680   54.301429   24.748676  -16.980324  -18.912153   -8.877589  -51.495712  -26.731141    5.827465   34.379626   -1.164879   -8.389674  -24.213245  -19.306740   -5.382783  -22.230501  -20.133841   60.829616  -22.915427  -18.803700
  -12.009126    2.132582  -29.529767  -49.896562    6.781448  -73.836105   30.091912   28.641810  -47.720935  -12.043302  -50.053106  -36.256954   56.819294   54.554090   24.970441  -17.009573  -18.587607   -8.946554  -51.185755  -26.990994    5.970111   34.675173   -1.050175   -8.247692  -24.236867  -19.323140   -5.520452  -22.223644  -20.151926   60.600711  -22.912684  -18.789605
  -11.811225    2.303604  -29.453351  -49.807274    6.545425  -73.980589   29.829244   28.480139  -47.971009  -11.990483  -50.178756  -36.304118   56.882695   54.805786   25.191422  -17.038636  -18.263091   -9.015422  -50.875533  -27.250580    6.112086   34.970414   -0.935466   -8.104887  -24.260547  -19.339490   -5.656842  -22.216723  -20.170038   60.370863  -22.909843  -18.775487
  -11.613059    2.474271  -29.377507  -49.715765    6.309039  -74.125337   29.566422   28.316943  -48.219846  -11.937315  -50.304618  -36.350061   56.942860   55.056499   25.411601  -17.067516  -17.938605   -9.084190  -50.565053  -27.509894    6.253381   35.265346   -0.820768   -7.961258  -24.284285  -19.355791   -5.791953  -22.209736  -20.188179   60.140090  -22.906904  -18.761348
  -11.414634    2.644574  -29.302229  -49.622064    6.072298  -74.270340   29.303447   28.152240  -48.467425  -11.883796  -50.430696  -36.394765   56.999766   55.306213   25.630958  -17.096215  -17.614151   -9.152850  -50.254317  -27.768932    6.393986   35.559967   -0.706098   -7.816807  -24.308080  -19.372041   -5.925783  -22.202685  -20.206350   59.908411  -22.903868  -18.747185
  -11.215955    2.814505  -29.227511  -49.526201    5.835209  -74.415589   29.040322   27.986048  -48.713722  -11.829926  -50.556999  -36.438212   57.053392   55.554907   25.849475  -17.124736  -17.289733   -9.221400  -49.943331  -28.027691    6.533891   35.854273   -0.591469   -7.671533  -24.331931  -19.388243   -6.058332  -22.195570  -20.224551   59.675843  -22.900736  -18.732999
  -11.017031    2.984056  -29.153345  -49.428206    5.597782  -74.561075   28.777046   27.818384  -48.958712  -11.775702  -50.683532  -36.480386   57.103717   55.802564   26.067133  -17.153081  -16.965351   -9.289832  -49.632098  -28.286166    6.673088   36.148262   -0.476899   -7.525436  -24.355839  -19.404396   -6.189600  -22.188391  -20.242783   59.442403  -22.897508  -18.718790
  -10.817865    3.153218  -29.079724  -49.328111    5.360023  -74.706790   28.513622   27.649266  -49.202372  -11.721124  -50.810304  -36.521271   57.150723   56.049163   26.283912  -17.181253  -16.641007   -9.358144  -49.320624  -28.544355    6.811567   36.441930   -0.362403   -7.378517  -24.379802  -19.420500   -6.319588  -22.181149  -20.261048   59.208109  -22.894185  -18.704556
  -10.618466    3.321981  -29.006641  -49.225947    5.121940  -74.852721   28.250051   27.478713  -49.444677  -11.666190  -50.937319  -36.560850   57.194390   56.294684   26.499794  -17.209253  -16.316703   -9.426329  -49.008911  -28.802253    6.949318   36.735273   -0.247997   -7.230776  -24.403819  -19.436556   -6.448296  -22.173844  -20.279346   58.972976  -22.890767  -18.690298
  -10.418839    3.490339  -28.934090  -49.121744    4.883542  -74.998859   27.986333   27.306742  -49.685603  -11.610900  -51.064585  -36.599106   57.234701   56.539108   26.714760  -17.237085  -15.992442   -9.494384  -48.696963  -29.059856    7.086332   37.028289   -0.133697   -7.082213  -24.427891  -19.452564   -6.575727  -22.166476  -20.297678   58.737021  -22.887256  -18.676016
  -10.218991    3.658281  -28.862064  -49.015535    4.644836  -75.145192   27.722471   27.133371  -49.925123  -11.555252  -51.192109  -36.636025   57.271638   56.782414   26.928790  -17.264749  -15.668225   -9.562303  -48.384786  -29.317160    7.222600   37.320974   -0.019518   -6.932830  -24.452017  -19.468525   -6.701883  -22.159047  -20.316045   58.500258  -22.883650  -18.661707
  -10.018928    3.825799  -28.790555  -48.907352    4.405829  -75.291706   27.458465   26.958619  -50.163212  -11.499245  -51.319896  -36.671591   57.305188   57.024579   27.141865  -17.292249  -15.344053   -9.630083  -48.072382  -29.574162    7.358111   37.613325    0.094524   -6.782626  -24.476196  -19.484438   -6.826765  -22.151556  -20.334448   58.262704  -22.879952  -18.647373
   -9.818657    3.992885  -28.719557  -48.797227    4.166530  -75.438389   27.194317   26.782504  -50.399843  -11.442878  -51.447954  -36.705788   57.335334   57.265583   27.353967  -17.319587  -15.019930   -9.697718  -47.759755  -29.830858    7.492857   37.905338    0.208412   -6.631602  -24.500427  -19.500305   -6.950377  -22.144003  -20.352888   58.024373  -22.876162  -18.633013
   -9.618185    4.159530  -28.649064  -48.685193    3.926946  -75.585227   26.930027   26.605043  -50.634991  -11.386150  -51.576289  -36.738603   57.362063   57.505403   27.565075  -17.346764  -14.695856   -9.765205  -47.446909  -30.087244    7.626829   38.197010    0.322130   -6.479759  -24.524710  -19.516124   -7.072723  -22.136390  -20.371365   57.785279  -22.872280  -18.618626
   -9.417517    4.325724  -28.579068  -48.571282    3.687085  -75.732204   26.665598   26.426256  -50.868627  -11.329060  -51.704907  -36.770019   57.385364   57.744016   27.775172  -17.373783  -14.371834   -9.832539  -47.133848  -30.343316    7.760016   38.488336    0.435663   -6.327097  -24.549043  -19.531897   -7.193806  -22.128716  -20.389882   57.545436  -22.868307  -18.604212
   -9.216661    4.491460  -28.509563  -48.455529    3.446953  -75.879304   26.401030   26.246160  -51.100724  -11.271608  -51.833815  -36.800024   57.405224   57.981399   27.984236  -17.400646  -14.047865   -9.899716  -46.820575  -30.599071    7.892409   38.779315    0.548995   -6.173618  -24.573427  -19.547624   -7.313631  -22.120983  -20.408438   57.304858  -22.864244  -18.589770
   -9.015624    4.656728  -28.440542  -48.337967    3.206558  -76.026511   26.136325   26.064774  -51.331255  -11.213793  -51.963020  -36.828603   57.421634   58.217527   28.192251  -17.427354  -13.723952   -9.966732  -46.507093  -30.854504    8.023999   39.069941    0.662109   -6.019321  -24.597860  -19.563305   -7.432202  -22.113189  -20.427034   57.063558  -22.860090  -18.575301
   -8.814412    4.821520  -28.371999  -48.218628    2.965909  -76.173806   25.871484   25.882117  -51.560191  -11.155614  -52.092527  -36.855743   57.434584   58.452377   28.399195  -17.453911  -13.400096  -10.033583  -46.193407  -31.109613    8.154777   39.360211    0.774989   -5.864209  -24.622342  -19.578940   -7.549525  -22.105337  -20.445672   56.821548  -22.855847  -18.560802
   -8.613032    4.985826  -28.303927  -48.097548    2.725011  -76.321171   25.606509   25.698206  -51.787502  -11.097071  -52.222344  -36.881430   57.444066   58.685923   28.605049  -17.480317  -13.076299  -10.100265  -45.879520  -31.364393    8.284732   39.650121    0.887619   -5.708281  -24.646871  -19.594530   -7.665605  -22.097426  -20.464353   56.578842  -22.851515  -18.546275
   -8.411491    5.149638  -28.236319  -47.974760    2.483873  -76.468586   25.341400   25.513060  -52.013161  -11.038162  -52.352476  -36.905651   57.450075   58.918139   28.809795  -17.506575  -12.752564  -10.166774  -45.565434  -31.618840    8.413856   39.939667    0.999985   -5.551540  -24.671447  -19.610074   -7.780448  -22.089456  -20.483077   56.335452  -22.847096  -18.531719
   -8.209796    5.312947  -28.169169  -47.850298    2.242501  -76.616028   25.076158   25.326698  -52.237136  -10.978887  -52.482930  -36.928394   57.452604   59.149001   29.013412  -17.532687  -12.428891  -10.233106  -45.251153  -31.872951    8.542138   40.228846    1.112068   -5.393985  -24.696069  -19.625573   -7.894061  -22.081428  -20.501846   56.091389  -22.842588  -18.517132
   -8.007954    5.475743  -28.102470  -47.724197    2.000903  -76.763476   24.810786   25.139138  -52.459399  -10.919247  -52.613712  -36.949647   57.451648   59.378479   29.215882  -17.558654  -12.105284  -10.299257  -44.936682  -32.126722    8.669571   40.517653    1.223854   -5.235618  -24.720735  -19.641028   -8.006449  -22.073343  -20.520660   55.846666  -22.837994  -18.502516
   -7.805971    5.638018  -28.036216  -47.596491    1.759085  -76.910905   24.545284   24.950398  -52.679918  -10.859240  -52.744828  -36.969396   57.447205   59.606549   29.417184  -17.584478  -11.781744  -10.365225  -44.622021  -32.380149    8.796143   40.806084    1.335326   -5.076440  -24.745446  -19.656438   -8.117620  -22.065201  -20.539521   55.601293  -22.833313  -18.487868
   -7.603855    5.799763  -27.970400  -47.467215    1.517056  -77.058290   24.279654   24.760498  -52.898662  -10.798867  -52.876286  -36.987632   57.439273   59.833180   29.617300  -17.610161  -11.458273  -10.431005  -44.307176  -32.633229    8.921846   41.094135    1.446469   -4.916453  -24.770200  -19.671804   -8.227582  -22.057002  -20.558429   55.355282  -22.828546  -18.473189
   -7.401614    5.960968  -27.905017  -47.336404    1.274821  -77.205605   24.013897   24.569455  -53.115600  -10.738126  -53.008089  -37.004343   57.427850   60.058345   29.816209  -17.635706  -11.134873  -10.496595  -43.992148  -32.885957    9.046671   41.381802    1.557267   -4.755657  -24.794995  -19.687125   -8.336341  -22.048746  -20.577386   55.108643  -22.823694  -18.458479
   -7.199253    6.121625  -27.840059  -47.204093    1.032388  -77.352821   23.748015   24.377289  -53.330701  -10.677019  -53.140246  -37.019516   57.412937   60.282015   30.013893  -17.661113  -10.811545  -10.561990  -43.676942  -33.138331    9.170608   41.669081    1.667704   -4.594054  -24.819832  -19.702403   -8.443906  -22.040435  -20.596392   54.861387  -22.818757  -18.443736
   -6.996780    6.281724  -27.775521  -47.070316    0.789765  -77.499909   23.482008   24.184018  -53.543932  -10.615545  -53.272762  -37.033143   57.394536   60.504159   30.210331  -17.686384  -10.488293  -10.627187  -43.361559  -33.390346    9.293647   41.955966    1.777764   -4.431645  -24.844708  -19.717637   -8.550285  -22.032068  -20.615449   54.613524  -22.813737  -18.428960
   -6.794204    6.441257  -27.711396  -46.935110    0.546957  -77.646836   23.215877   23.989660  -53.755260  -10.553703  -53.405643  -37.045213   57.372648   60.724747   30.405503  -17.711521  -10.165117  -10.692184  -43.046003  -33.641999    9.415779   42.242454    1.887431   -4.268432  -24.869623  -19.732827   -8.655486  -22.023646  -20.634558   54.365064  -22.808632  -18.414151
   -6.591530    6.600214  -27.647677  -46.798509    0.303971  -77.793569   22.949625   23.794235  -53.964653  -10.491495  -53.538896  -37.055715   57.347278   60.943747   30.599391  -17.736526   -9.842020  -10.756976  -42.730278  -33.893286    9.536996   42.528540    1.996691   -4.104416  -24.894575  -19.747974   -8.759518  -22.015169  -20.653719   54.116017  -22.803445  -18.399309
   -6.388766    6.758585  -27.584359  -46.660549    0.060815  -77.940072   22.683253   23.597761  -54.172076  -10.428920  -53.672525  -37.064640   57.318431   61.161129   30.791975  -17.761401   -9.519003  -10.821562  -42.414385  -34.144204    9.657287   42.814220    2.105526   -3.939599  -24.919563  -19.763077   -8.862389  -22.006637  -20.672933   53.866393  -22.798176  -18.384432
   -6.185919    6.916363  -27.521436  -46.521265   -0.182505  -78.086309   22.416762   23.400257  -54.377496  -10.365979  -53.806538  -37.071979   57.286112   61.376858   30.983234  -17.786146   -9.196070  -10.885938  -42.098328  -34.394748    9.776643   43.099488    2.213922   -3.773982  -24.944587  -19.778138   -8.964110  -21.998052  -20.692203   53.616200  -22.792824  -18.369520
   -5.982998    7.073537  -27.458901  -46.380692   -0.425982  -78.232239   22.150153   23.201742  -54.580880  -10.302671  -53.940940  -37.077722   57.250330   61.590903   31.173149  -17.810764   -8.873221  -10.950101  -41.782109  -34.644916    9.895055   43.384340    2.321864   -3.607567  -24.969644  -19.793156   -9.064688  -21.989413  -20.711528   53.365448  -22.787392  -18.354573
