       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
  -12.182556   -6.091894   32.739735   -1.755047  131.794270   78.240371  -29.732708    7.350188   -9.256559   45.194314   90.698910   69.977035  127.377213   59.642438   77.932560   41.910467   25.484975   55.659595   46.731000  126.042273    1.288220   77.452221   50.581546   74.689834   50.823969   43.882092   40.363640   46.553138   50.133452    7.762603   43.920118   47.498633
  -12.236969   -6.068997   32.767765   -1.308677  131.866389   77.968441  -29.770549    7.623605   -9.483511   45.198230   90.616337   70.205367  127.867871   59.451101   78.131966   41.927076   25.476730   55.667247   46.627105  126.085499    1.346779   77.400706   50.642010   74.790321   50.857037   43.890931   40.438281   46.570663   50.133956    7.432911   43.946248   47.500924
  -12.290550   -6.045097   32.795222   -0.863949  131.937190   77.693548  -29.807972    7.895699   -9.713580   45.202276   90.534226   70.435070  128.361813   59.256724   78.332626   41.943547   25.468389   55.674514   46.525328  126.129504    1.406380   77.348545   50.703152   74.890862   50.890413   43.899764   40.512037   46.588131   50.134514    7.109170   43.972301   47.503199
  -12.343297   -6.020190   32.822111   -0.420926  132.006680   77.415591  -29.844990    8.166460   -9.946810   45.206455   90.452582   70.666128  128.858978   59.059251   78.534550   41.959883   25.459948   55.681401   46.425615  126.174287    1.467024   77.295724   50.764974   74.991455   50.924100   43.908591   40.584911   46.605543   50.135127    6.791268   43.998278   47.505461
  -12.395203   -5.994273   32.848435    0.020332  132.074864   77.134464  -29.881613    8.435880  -10.183244   45.210768   90.371407   70.898526  129.359307   58.858629   78.737752   41.976085   25.451404   55.687910   46.327918  126.219850    1.528712   77.242229   50.827478   75.092099   50.958101   43.917412   40.656911   46.622899   50.135794    6.479094   44.024179   47.507707
  -12.446264   -5.967344   32.874199    0.459763  132.141750   76.850055  -29.917851    8.703952  -10.422924   45.215218   90.290704   71.132247  129.862735   58.654800   78.942242   41.992156   25.442750   55.694044   46.232185  126.266192    1.591446   77.188048   50.890667   75.192792   50.992419   43.926229   40.728039   46.640198   50.136517    6.172540   44.050002   47.509940
  -12.496475   -5.939399   32.899407    0.897312  132.207343   76.562253  -29.953716    8.970668  -10.665896   45.219807   90.210477   71.367273  130.369194   58.447707   79.148033   42.008098   25.433982   55.699806   46.138371  126.313314    1.655225   77.133166   50.954541   75.293532   51.027056   43.935041   40.798303   46.657441   50.137297    5.871499   44.075747   47.512158
  -12.545832   -5.910435   32.924062    1.332920  132.271650   76.270938  -29.989217    9.236022  -10.912202   45.224538   90.130728   71.603587  130.878614   58.237293   79.355136   42.023912   25.425097   55.705200   46.046427  126.361217    1.720051   77.077568   51.019102   75.394318   51.062017   43.943849   40.867707   46.674627   50.138132    5.575866   44.101415   47.514363
  -12.594331   -5.880449   32.948169    1.766533  132.334678   75.975989  -30.024366    9.500007  -11.161887   45.229413   90.051462   71.841171  131.390920   58.023497   79.563562   42.039602   25.416089   55.710229   45.956311  126.409900    1.785925   77.021240   51.084352   75.495148   51.097303   43.952654   40.936256   46.691755   50.139025    5.285538   44.127006   47.516555
  -12.641965   -5.849439   32.971732    2.198098  132.396432   75.677277  -30.059171    9.762617  -11.414996   45.234433   89.972679   72.080007  131.906036   57.806260   79.773325   42.055168   25.406955   55.714895   45.867977  126.459364    1.852846   76.964168   51.150293   75.596020   51.132917   43.961456   41.003958   46.708826   50.139974    5.000412   44.152518   47.518734
  -12.688732   -5.817400   32.994755    2.627563  132.456920   75.374673  -30.093644   10.023848  -11.671574   45.239603   89.894384   72.320076  132.423882   57.585520   79.984434   42.070612   25.397688   55.719203   45.781383  126.509610    1.920816   76.906337   51.216925   75.696932   51.168864   43.970256   41.070816   46.725840   50.140982    4.720387   44.177951   47.520900
  -12.734626   -5.784331   33.017240    3.054878  132.516147   75.068039  -30.127794   10.283693  -11.931666   45.244923   89.816580   72.561360  132.944373   57.361215   80.196903   42.085937   25.388285   55.723156   45.696489  126.560638    1.989835   76.847731   51.284251   75.797884   51.205145   43.979053   41.136837   46.742797   50.142048    4.445365   44.203307   47.523053
  -12.779642   -5.750228   33.039194    3.479994  132.574120   74.757233  -30.161632   10.542149  -12.195318   45.250396   89.739269   72.803837  133.467426   57.133282   80.410742   42.101145   25.378742   55.726757   45.613254  126.612449    2.059904   76.788336   51.352270   75.898874   51.241763   43.987850   41.202028   46.759696   50.143173    4.175249   44.228583   47.525194
  -12.823776   -5.715088   33.060618    3.902865  132.630845   74.442108  -30.195166   10.799212  -12.462576   45.256026   89.662453   73.047489  133.992949   56.901656   80.625963   42.116237   25.369053   55.730009   45.531640  126.665045    2.131022   76.728135   51.420984   75.999899   51.278723   43.996645   41.266393   46.776537   50.144357    3.909943   44.253780   47.527323
  -12.867024   -5.678909   33.081516    4.323444  132.686328   74.122511  -30.228408   11.054877  -12.733486   45.261813   89.586136   73.292296  134.520851   56.666271   80.842578   42.131215   25.359215   55.732916   45.451609  126.718425    2.203190   76.667112   51.490394   76.100959   51.316027   44.005441   41.329939   46.793320   50.145601    3.649354   44.278899   47.529441
  -12.909381   -5.641688   33.101894    4.741689  132.740575   73.798284  -30.261365   11.309142  -13.008095   45.267762   89.510320   73.538236  135.051038   56.427062   81.060599   42.146081   25.349222   55.735481   45.373123  126.772590    2.276408   76.605253   51.560501   76.202052   51.353677   44.014236   41.392673   46.810045   50.146905    3.393389   44.303937   47.531547
  -12.950842   -5.603422   33.121753    5.157558  132.793593   73.469261  -30.294048   11.562004  -13.286449   45.273874   89.435008   73.785289  135.583412   56.183959   81.280035   42.160836   25.339070   55.737709   45.296148  126.827543    2.350676   76.542539   51.631305   76.303177   51.391678   44.023032   41.454600   46.826711   50.148270    3.141958   44.328896   47.533641
  -12.991403   -5.564108   33.141098    5.571009  132.845387   73.135272  -30.326466   11.813460  -13.568594   45.280152   89.360203   74.033433  136.117872   55.936896   81.500899   42.175483   25.328755   55.739602   45.220649  126.883282    2.425994   76.478956   51.702806   76.404333   51.430032   44.031829   41.515727   46.843320   50.149696    2.894972   44.353776   47.535725
  -13.031060   -5.523743   33.159932    5.982005  132.895964   72.796138  -30.358629   12.063508  -13.854578   45.286598   89.285906   74.282647  136.654316   55.685802   81.723203   42.190024   25.318271   55.741163   45.146592  126.939810    2.502363   76.414485   51.775005   76.505517   51.468743   44.040627   41.576061   46.859870   50.151185    2.652344   44.378575   47.537799
  -13.069807   -5.482326   33.178259    6.390508  132.945329   72.451674  -30.390545   12.312147  -14.144448   45.293216   89.212120   74.532909  137.192638   55.430606   81.946956   42.204459   25.307615   55.742398   45.073944  126.997128    2.579781   76.349110   51.847902   76.606729   51.507814   44.049428   41.635608   46.876362   50.152736    2.413989   44.403293   47.539862
  -13.107641   -5.439852   33.196082    6.796483  132.993489   72.101688  -30.422224   12.559376  -14.438250   45.300008   89.138848   74.784196  136.725697   55.171237   82.172171   42.218790   25.296781   55.743308   45.002673  127.055236    2.658248   76.282813   51.921497   76.707967   51.547247   44.058231   41.694375   46.892795   50.154349    2.179821   44.427932   47.541915
  -13.144557   -5.396321   33.213405    7.199896  133.040449   71.745980  -30.453674   12.805193  -14.736032   45.306976   89.066093   75.036485  136.183945   54.907621   82.398857   42.233020   25.285765   55.743898   44.932748  127.114136    2.737764   76.215576   51.995790   76.809231   51.587047   44.067036   41.752368   46.909169   50.156027    1.949760   44.452489   47.543958
  -13.180550   -5.351728   33.230231    7.600714  133.086215   71.384342  -30.484905   13.049598  -15.037841   45.314124   88.993855   75.289754  135.640645   54.639685   82.627026   42.247150   25.274563   55.744172   44.864138  127.173830    2.818329   76.147382   52.070781   76.910518   51.627217   44.075846   41.809595   46.925484   50.157768    1.723724   44.476966   47.545992
  -13.215616   -5.306072   33.246564    7.998908  133.130793   71.016557  -30.515925   13.292591  -15.343725   45.321454   88.922138   75.543978  135.095912   54.367354   82.856689   42.261182   25.263169   55.744133   44.796814  127.234318    2.899942   76.078212   52.146470   77.011829   51.667759   44.084659   41.866062   46.941740   50.159574    1.501634   44.501361   47.548016
