 Epoch \ PRN        G01        G02        G03        G04        G05        G06        G07        G08        G09        G10        G11        G12        G13        G14        G15        G16        G17        G18        G19        G20        G21        G22        G23        G24        G25        G26        G27        G28        G29        G30        G31        G32
 Epoch 0001:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0002:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   31.05219   23.60959    5.70837   23.55308    0.00000   13.77475    0.00000   17.79460    0.00000    0.00000    0.00000   15.60899   16.64304    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0003:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   30.62808   24.03783    5.92482   23.37215    0.00000   13.36941    0.00000   18.05084    0.00000    0.00000    0.00000   17.50677   16.01048    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0004:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   30.25822   24.62655    6.86015   23.51264    0.00000   14.11741    0.00000   18.56989    0.00000    0.00000    0.00000   18.11845   15.90233    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0005:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   29.80480   25.39371    6.68847   24.41821    0.00000   14.30348    0.00000   19.35795    0.00000    0.00000    0.00000   19.12606   15.76254    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0006:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   30.31555   25.44917    6.41948   24.84943    0.00000   14.14258    0.00000   19.21487    0.00000    0.00000    0.00000   19.08846   16.26098    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0007:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   30.19449   25.69197    6.12209   25.27648    0.00000   13.89517    0.00000   19.18374    0.00000    0.00000    0.00000   19.48222   16.44061    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0008:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   30.11411   25.60398    5.97224   25.39525    0.00000   13.85958    0.00000   19.10469    0.00000    0.00000    0.00000   19.45600   16.55719    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0009:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   29.99151   25.65367    5.79310   25.50918    0.00000   13.78503    0.00000   19.16150    0.00000    0.00000    0.00000   19.32465   16.48320    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0010:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   29.64605   25.58027    5.64964   25.42706    0.00000   13.65478    0.00000   19.13523    0.00000    0.00000    0.00000   19.12465   16.16476    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0011:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   29.42182   25.53256    5.61654   25.38926    0.00000   13.49159    0.00000   19.07567    0.00000    0.00000    0.00000   19.25809   15.98123    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0012:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   29.49355   25.55092    5.50541   25.55667    0.00000   13.30618    0.00000   18.83563    0.00000    0.00000    0.00000   19.39043   16.03645    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0013:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   29.46893   25.70505    5.45935   25.74217    0.00000   13.21892    0.00000   18.80885    0.00000    0.00000    0.00000   19.51732   16.05297    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0014:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   29.25501   25.68128    5.55783   25.75176    0.00000   13.15995    0.00000   18.81886    0.00000    0.00000    0.00000   19.69873   15.99707    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0015:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   29.16017   25.74749    5.70732   25.69856    0.00000   13.31270    0.00000   18.90941    0.00000    0.00000    0.00000   19.92345   15.96983    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0016:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   29.00980   25.76582    5.81260   25.55453    0.00000   13.46491    0.00000   19.00956    0.00000    0.00000    0.00000   19.93482   15.93079    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0017:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   28.91896   25.80058    5.78368   25.60433    0.00000   13.50831    0.00000   19.01576    0.00000    0.00000    0.00000   19.91368   16.01801    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0018:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   28.97518   25.88284    5.68720   25.79780    0.00000   13.45944    0.00000   18.94258    0.00000    0.00000    0.00000   19.89790   16.18310    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0019:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   29.06217   25.95265    5.58264   26.06190    0.00000   13.35087    0.00000   18.85444    0.00000    0.00000    0.00000   19.99502   16.33283    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0020:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   29.07821   25.93675    5.40744   26.21982    0.00000   13.14693    0.00000   18.66440    0.00000    0.00000    0.00000   20.14344   16.42304    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0021:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   29.06428   25.94219    5.30271   26.36563    0.00000   13.03361    0.00000   18.57612    0.00000    0.00000    0.00000   20.30373   16.51897    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0022:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   29.07445   25.93019    5.20973   26.49021    0.00000   12.92977    0.00000   18.52698    0.00000    0.00000    0.00000   20.44314   16.57888    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0023:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   28.98071   25.93032    5.18104   26.53940    0.00000   12.87595    0.00000   18.51904    0.00000    0.00000    0.00000   20.52326   16.58855    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0024:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   28.94595   25.90931    5.12580   26.63100    0.00000   12.76854    0.00000   18.46570    0.00000    0.00000    0.00000   20.57495   16.63868    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0025:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   28.83802   25.89124    5.12062   26.64645    0.00000   12.74024    0.00000   18.43433    0.00000    0.00000    0.00000    0.00000   16.65452    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0026:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   28.73380   25.93860    5.17123   26.70290    0.00000   12.79309    0.00000   18.47850    0.00000    0.00000    0.00000    0.00000   16.73274    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0027:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   28.63131   25.97439    5.18858   26.75878    0.00000   12.78054    0.00000   18.45372    0.00000    0.00000    0.00000    0.00000   16.79634    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0028:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   28.55200   26.02477    5.21623   26.80635    0.00000   12.78252    0.00000   18.44579    0.00000    0.00000    0.00000    0.00000   16.82111    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0029:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   28.52880   26.11400    5.21941   26.91741    0.00000   12.76671    0.00000   18.45533    0.00000    0.00000    0.00000    0.00000   16.85482    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0030:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   28.47722   26.14109    5.22275   26.99360    0.00000   12.76611    0.00000   18.45000    0.00000    0.00000    0.00000    0.00000   16.89366    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0031:    0.00000    0.00000    0.00000    0.00000    0.00000   19.20182    0.00000    0.00000    0.00000    0.00000    0.00000   28.43625   26.20387    5.24374   27.09369    0.00000   12.78619    0.00000   18.47324    0.00000    0.00000    0.00000    0.00000   16.96502    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0032:    0.00000    0.00000    0.00000    0.00000    0.00000   19.36530    0.00000    0.00000    0.00000    0.00000    0.00000   28.41149   26.25553    5.20764   27.18736    0.00000   12.75012    0.00000   18.43218    0.00000    0.00000    0.00000    0.00000   17.01181    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0033:    0.00000    0.00000    0.00000    0.00000    0.00000   19.62495    0.00000    0.00000    0.00000    0.00000    0.00000   28.30970   26.26354    5.17425   27.21401    0.00000   12.68649    0.00000   18.34438    0.00000    0.00000    0.00000    0.00000   17.01683    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0034:    0.00000    0.00000    0.00000    0.00000    0.00000   19.78868    0.00000    0.00000    0.00000    0.00000    0.00000   28.23359   26.29313    5.15415   27.25268    0.00000   12.64505    0.00000   18.29149    0.00000    0.00000    0.00000    0.00000   17.04291    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0035:    0.00000    0.00000    0.00000    0.00000    0.00000   19.86501    0.00000    0.00000    0.00000    0.00000    0.00000   28.10398   26.30750    5.17347   27.23986    0.00000   12.62940    0.00000   18.26870    0.00000    0.00000    0.00000    0.00000   17.04103    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0036:    0.00000    0.00000    0.00000    0.00000    0.00000   19.85378    0.00000    0.00000    0.00000    0.00000    0.00000   28.02417   26.32339    5.17424   27.25174    0.00000   12.62363    0.00000   18.26403    0.00000    0.00000    0.00000    0.00000   17.05647    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
