       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
  -49.053221   13.121737  -26.560339   45.033765  -16.629551  -23.556272   -4.473392  -52.863249   35.002127  -45.758750  -11.198067  -30.162609  -30.138397  -36.667494  -31.199515   46.062255  -33.215413   -4.170713  -31.480980   -4.882788  -63.182961  -45.938727  -35.301556  -34.217060  -23.274040   60.050923  -17.299665   -4.592525   15.366013  -27.970818   18.373672  -66.240022
  -49.124542   13.231069  -26.819890   44.891409  -16.508798  -23.642286   -4.258931  -52.555401   35.150828  -45.685203  -11.327735  -30.188050  -30.121274  -36.686742  -31.184607   46.337234  -33.234776   -3.948673  -31.496607   -4.775126  -63.340457  -46.247398  -35.264238  -34.208665  -23.386687   59.938616  -16.966054   -4.874345   15.134009  -27.909249   18.090107  -66.247444
  -49.196405   13.339097  -27.079068   44.746786  -16.387540  -23.727600   -4.043948  -52.246965   35.297635  -45.612225  -11.457429  -30.213311  -30.104078  -36.705948  -31.169672   46.611449  -33.254207   -3.726812  -31.512216   -4.668212  -63.499012  -46.555592  -35.226842  -34.200238  -23.498231   59.823628  -16.632492   -5.156068   14.901186  -27.847018   17.806443  -66.250440
  -49.268816   13.445812  -27.337868   44.599919  -16.265787  -23.812215   -3.828448  -51.937954   35.442529  -45.539808  -11.587135  -30.238395  -30.086809  -36.725109  -31.154709   46.884889  -33.273706   -3.505139  -31.527807   -4.562060  -63.658627  -46.863296  -35.189365  -34.191779  -23.608678   59.705995  -16.298982   -5.437692   14.667561  -27.784115   17.522681  -66.249025
  -49.341782   13.551204  -27.596283   44.450828  -16.143549  -23.896134   -3.612435  -51.628382   35.585494  -45.467944  -11.716837  -30.263304  -30.069466  -36.744221  -31.139718   47.157538  -33.293277   -3.283663  -31.543381   -4.456679  -63.819305  -47.170497  -35.151801  -34.183288  -23.718036   59.585752  -15.965524   -5.719213   14.433150  -27.720534   17.238823  -66.243217
  -49.415310   13.655265  -27.854307   44.299534  -16.020835  -23.979360   -3.395915  -51.318263   35.726512  -45.396627  -11.846521  -30.288038  -30.052049  -36.763282  -31.124698   47.429386  -33.312918   -3.062392  -31.558939   -4.352082  -63.981049  -47.477183  -35.114147  -34.174766  -23.826309   59.462933  -15.632121   -6.000627   14.197971  -27.656268   16.954871  -66.233038
  -49.489408   13.757986  -28.111933   44.146060  -15.897657  -24.061895   -3.178892  -51.007610   35.865566  -45.325848  -11.976174  -30.312601  -30.034555  -36.782288  -31.109648   47.700417  -33.332632   -2.841336  -31.574481   -4.248279  -64.143861  -47.783340  -35.076397  -34.166214  -23.933505   59.337574  -15.298775   -6.281933   13.962038  -27.591307   16.670827  -66.218512
  -49.564082   13.859357  -28.369155   43.990426  -15.774024  -24.143743   -2.961370  -50.696435   36.002638  -45.255601  -12.105782  -30.336995  -30.016984  -36.801235  -31.094568   47.970618  -33.352421   -2.620503  -31.590008   -4.145284  -64.307743  -48.088955  -35.038549  -34.157630  -24.039629   59.209710  -14.965488   -6.563125   13.725370  -27.525646   16.386693  -66.199665
  -49.639340   13.959371  -28.625966   43.832654  -15.649947  -24.224906   -2.743355  -50.384750   36.137711  -45.185879  -12.235329  -30.361220  -29.999336  -36.820120  -31.079458   48.239976  -33.372284   -2.399902  -31.605521   -4.043105  -64.472697  -48.394014  -35.000597  -34.149017  -24.144689   59.079376  -14.632261   -6.844202   13.487981  -27.459276   16.102470  -66.176527
  -49.715188   14.058018  -28.882361   43.672766  -15.525438  -24.305388   -2.524850  -50.072568   36.270769  -45.116673  -12.364803  -30.385280  -29.981609  -36.838940  -31.064317   48.508474  -33.392224   -2.179542  -31.621019   -3.941756  -64.638725  -48.698502  -34.962536  -34.140374  -24.248691   58.946607  -14.299098   -7.125160   13.249889  -27.392189   15.818161  -66.149130
