       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
   12.193654   39.251444  -54.990161  -53.626060   23.106178  -33.610150   64.771777   73.299017  -18.474691   29.911751    2.495505    8.973677   28.134613   41.128940   25.049648   24.271114    5.007469   23.838818  -15.897291   17.812108   49.855830   32.197470   26.387932   21.935995    2.302277    2.718887   39.708188  -24.099234   17.389746   56.710938  -40.218252   15.552473
   12.527278   39.564676  -54.727611  -53.887741   23.086183  -33.828559   64.557161   73.087773  -18.765441   29.912920    2.295044    9.050111   28.165448   41.223805   25.059128   24.070527    5.274838   23.823259  -15.699891   17.739524   50.146608   32.275821   26.380038   21.951048    2.366406    2.520932   39.600683  -23.899479   17.346522   56.874859  -40.198659   15.641863
   12.860955   39.877576  -54.464550  -54.148557   23.066087  -34.045845   64.340096   72.877237  -19.056064   29.913582    2.093397    9.126581   28.196408   41.318896   25.068571   23.869518    5.542255   23.807731  -15.501675   17.666249   50.436464   32.353996   26.372070   21.966073    2.431192    2.323160   39.493927  -23.698639   17.303000   57.037501  -40.176641   15.730401
   13.194683   40.190138  -54.200986  -54.408491   23.045889  -34.261986   64.120637   72.667415  -19.346559   29.913744    1.890581    9.203078   28.227492   41.414220   25.077978   23.668091    5.809716   23.792235  -15.302651   17.592277   50.725378   32.432000   26.364030   21.981071    2.496625    2.125580   39.387914  -23.496730   17.259179   57.198820  -40.152202   15.818095
   13.528462   40.502354  -53.936927  -54.667529   23.025588  -34.476964   63.898838   72.458311  -19.636924   29.913412    1.686612    9.279594   28.258701   41.509784   25.087349   23.466249    6.077214   23.776769  -15.102832   17.517601   51.013330   32.509840   26.355918   21.996043    2.562696    1.928197   39.282638  -23.293772   17.215056   57.358773  -40.125346   15.904952
   13.862288   40.814218  -53.672380  -54.925652   23.005183  -34.690756   63.674750   72.249931  -19.927158   29.912593    1.481508    9.356121   28.290032   41.605594   25.096682   23.263996    6.344743   23.761332  -14.902228   17.442213   51.300301   32.587522   26.347735   22.010990    2.629398    1.731020   39.178092  -23.089780   17.170629   57.517314  -40.096077   15.990980
   14.196160   41.125723  -53.407354  -55.182844   22.984675  -34.903343   63.448426   72.042279  -20.217260   29.911293    1.275284    9.432653   28.321487   41.701657   25.105978   23.061338    6.612297   23.745926  -14.700848   17.366105   51.586270   32.665052   26.339483   22.025911    2.696720    1.534055   39.074271  -22.884774   17.125896   57.674401  -40.064399   16.076186
   14.530076   41.436862  -53.141856  -55.439089   22.964062  -35.114703   63.219915   71.835360  -20.507226   29.909519    1.067959    9.509182   28.353064   41.797980   25.115236   22.858278    6.879871   23.730548  -14.498705   17.289272   51.871215   32.742437   26.331161   22.040807    2.764655    1.337311   38.971168  -22.678769   17.080854   57.829987  -40.030316   16.160580
   14.864034   41.747627  -52.875894  -55.694367   22.943344  -35.324816   62.989267   71.629177  -20.797056   29.907277    0.859549    9.585699   28.384763   41.894570   25.124456   22.654820    7.147458   23.715199  -14.295807   17.211706   52.155115   32.819682   26.322771   22.055679    2.833193    1.140793   38.868777  -22.471785   17.035502   57.984029  -39.993835   16.244167
   15.198032   42.058011  -52.609473  -55.948661   22.922520  -35.533661   62.756531   71.423736  -21.086748   29.904574    0.650074    9.662198   28.416583   41.991434   25.133637   22.450970    7.415053   23.699878  -14.092165   17.133400   52.437949   32.896794   26.314313   22.070528    2.902325    0.944510   38.767091  -22.263837   16.989838   58.136479  -39.954960   16.326957
