       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
  100.462826   87.696800   65.468948  133.033112  119.510656  155.349896  166.451904   77.535004  170.868964   99.078125  128.021062  120.174041  119.468453  146.034373  115.048268   44.601327  196.793117  112.929709  190.988088  127.807439   73.772023  142.958104  111.158743  115.240710  111.073748   48.013232   93.583832   82.681829  110.542965  154.588322   47.615958  100.036302
  100.432711   87.585440   65.326739  132.820067  119.528575  155.595014  165.919732   77.649398  170.835162   99.196428  128.126403  120.191831  119.518599  145.990089  115.064251   44.520390  196.788637  112.934642  191.099047  127.872162   73.534499  142.891840  111.187578  115.242042  111.141421   48.032394   93.608845   82.896925  110.537997  154.999338   47.961334  100.106160
  100.402347   87.472412   65.187227  132.603437  119.546518  155.842108  165.396500   77.759926  170.801254   99.314166  128.232432  120.209196  119.569287  145.946412  115.080315   44.440211  196.785185  112.939511  191.208570  127.937310   73.293194  142.826005  111.216263  115.243391  111.208734   48.052559   93.633146   83.110685  110.533074  155.415211   48.306582  100.175548
  100.371725   87.357685   65.050356  132.383153  119.564485  156.091196  164.882092   77.866737  170.767232   99.431334  128.339147  120.226137  119.620522  145.903346  115.096460   44.360794  196.782757  112.944317  191.316659  128.002884   73.048038  142.760602  111.244796  115.244759  111.275682   48.073732   93.656739   83.323116  110.528197  155.835976   48.651663  100.244467
  100.340836   87.241229   64.916069  132.159148  119.582476  156.342292  164.376393   77.969971  170.733088   99.547928  128.446547  120.242658  119.672311  145.860891  115.112688   44.282141  196.781349  112.949059  191.423320  128.068887   72.798962  142.695636  111.273179  115.246145  111.342262   48.095915   93.679628   83.534223  110.523367  156.261668   48.996540  100.312918
  100.309672   87.123010   64.784313  131.931351  119.600493  156.595413  163.879283   78.069759  170.698813   99.663945  128.554630  120.258760  119.724659  145.819051  115.128997   44.204254  196.780958  112.953738  191.528557  128.135321   72.545892  142.631109  111.301412  115.247550  111.408468   48.119111   93.701816   83.744012  110.518586  156.692319   49.341172  100.380903
  100.278224   87.002997   64.655034  131.699692  119.618536  156.850572  163.390641   78.166229  170.664399   99.779379  128.663396  120.274446  119.777573  145.777827  115.145388   44.127137  196.781580  112.958355  191.632375  128.202188   72.288757  142.567027  111.329496  115.248973  111.474296   48.143324   93.723308   83.952490  110.513855  157.127961   49.685523  100.448424
  100.246484   86.881156   64.528179  131.464097  119.636607  157.107785  162.910344   78.259498  170.629838   99.894228  128.772844  120.289719  119.831058  145.737222  115.161862   44.050792  196.783213  112.962911  191.734778  128.269490   72.027481  142.503391  111.357430  115.250416  111.539742   48.168558   93.744105   84.159664  110.509176  157.568623   50.029554  100.515482
  100.214441   86.757453   64.403697  131.224495  119.654705  157.367067  162.438269   78.349679  170.595122  100.008487  128.882972  120.304581  119.885121  145.697238  115.178418   43.975222  196.785852  112.967406  191.835772  128.337229   71.761989  142.440206  111.385216  115.251878  111.604802   48.194815   93.764212   84.365540  110.504551  158.014332   50.373229  100.582079
  100.182089   86.631853   64.281540  130.980808  119.672832  157.628431  161.974291   78.436880  170.560242  100.122153  128.993779  120.319035  119.939767  145.657877  115.195058   43.900429  196.789494  112.971840  191.935360  128.405407   71.492203  142.377476  111.412854  115.253360  111.669470   48.222098   93.783633   84.570126  110.499981  158.465114   50.716510  100.648218
  100.149416   86.504321   64.161658  130.732962  119.690989  157.891892  161.518284   78.521203  170.525189  100.235223  129.105265  120.333083  119.995003  145.619142  115.211781   43.826416  196.794137  112.976215  192.033549  128.474025   71.218046  142.315203  111.440344  115.254862  111.733744   48.250412   93.802370   84.773428  110.495468  158.920993   51.059360  100.713898
