 Epoch \ PRN        G01        G02        G03        G04        G05        G06        G07        G08        G09        G10        G11        G12        G13        G14        G15        G16        G17        G18        G19        G20        G21        G22        G23        G24        G25        G26        G27        G28        G29        G30        G31        G32
 Epoch 0001:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0002:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0003:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0004:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0005:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0006:    0.00000    0.00000    0.00000    0.00000   42.89138    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   36.45401    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0007:    0.00000    0.00000    0.00000    0.00000   42.92795    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   36.62270    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0008:    0.00000    0.00000    0.00000    0.00000   42.67923    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   36.64211    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0009:    0.00000    0.00000    0.00000    0.00000   42.71883    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   36.58043    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0010:    0.00000    0.00000    0.00000    0.00000   42.74355    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   36.48583    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   30.71008    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
