 Epoch \ PRN        G01        G02        G03        G04        G05        G06        G07        G08        G09        G10        G11        G12        G13        G14        G15        G16        G17        G18        G19        G20        G21        G22        G23        G24        G25        G26        G27        G28        G29        G30        G31        G32
 Epoch 0001:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0002:    5.29624    0.00000   14.99364    0.00000    0.00000   13.26794   14.53521    9.13244    0.00000    0.00000    0.00000    0.00000    0.00000    4.59813    0.00000    0.00000    5.74939    0.00000    7.06770    0.00000    4.04911    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   14.26057    0.00000    0.00000
 Epoch 0003:    5.94010    0.00000   13.41846    0.00000    0.00000   12.49618   14.31429    7.91849    0.00000    0.00000    0.00000    0.00000    0.00000    4.98985    0.00000    0.00000    6.69657    0.00000    7.22357    0.00000    3.90685    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   14.25556    0.00000    0.00000
 Epoch 0004:    5.96155    0.00000   13.94457    0.00000    0.00000   13.24647   14.07164    7.59294    0.00000    0.00000    0.00000    0.00000    0.00000    4.63399    0.00000    0.00000    6.97228    0.00000    7.56205    0.00000    4.10417    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   13.98590    0.00000    0.00000
 Epoch 0005:    6.99898    0.00000   13.67370    0.00000    0.00000   12.68591   13.40470    8.18086    0.00000    0.00000    0.00000    0.00000    0.00000    4.90413    0.00000    0.00000    7.81885    0.00000    8.17740    0.00000    5.75881    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   13.19834    0.00000    0.00000
 Epoch 0006:    7.09211    0.00000   13.01153    0.00000    0.00000   11.94985   12.57362    8.43338    0.00000    0.00000    0.00000    0.00000    0.00000    4.78271    0.00000    0.00000    8.01836    0.00000    8.24150    0.00000    6.14712    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   12.43916    0.00000    0.00000
 Epoch 0007:    7.22113    0.00000   12.92821    0.00000    0.00000   11.66030   12.26834    8.47729    0.00000    0.00000    0.00000    0.00000    0.00000    4.68521    0.00000    0.00000    8.05095    0.00000    8.27569    0.00000    6.50410    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   12.15443    0.00000    0.00000
 Epoch 0008:    7.28232    0.00000   12.44214    0.00000    0.00000   11.49858   11.92010    8.52711    0.00000    0.00000    0.00000    0.00000    0.00000    4.95091    0.00000    0.00000    8.26334    0.00000    8.39900    0.00000    6.70868    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   11.92768    0.00000    0.00000
 Epoch 0009:    7.46364    0.00000   12.37379    0.00000    0.00000   11.25714   11.75499    8.75310    0.00000    0.00000    0.00000    0.00000    0.00000    4.94156    0.00000    0.00000    8.14014    0.00000    8.23089    0.00000    6.78823    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   11.65702    0.00000    0.00000
 Epoch 0010:    7.61720    0.00000   12.16824    0.00000    0.00000   11.11320   11.51971    8.52242    0.00000    0.00000    0.00000    0.00000    0.00000    5.21688    0.00000    0.00000    8.36456    0.00000    8.28682    0.00000    6.79841    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   11.62392    0.00000    0.00000
 Epoch 0011:    7.64724    0.00000   12.03249    0.00000    0.00000   10.89237   11.39131    8.56139    0.00000    0.00000    0.00000    0.00000    0.00000    5.34483    0.00000    0.00000    8.30889    0.00000    8.21773    0.00000    6.82521    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   11.41123    0.00000    0.00000
 Epoch 0012:    7.64745    0.00000   11.84001    0.00000    0.00000   10.88637   11.36104    8.41487    0.00000    0.00000    0.00000    0.00000    0.00000    5.56563    0.00000    0.00000    8.43559    0.00000    8.32651    0.00000    6.84092    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   11.47929    0.00000    0.00000
 Epoch 0013:    7.65479    0.00000   11.73322    0.00000    0.00000   10.84920   11.28596    8.28643    0.00000    0.00000    0.00000    0.00000    0.00000    5.63939    0.00000    0.00000    8.50969    0.00000    8.31263    0.00000    6.82765    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   11.43904    0.00000    0.00000
