       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
  -28.123686   49.794136  -24.484440   -2.301059   28.695511  -20.963196  -20.408503  -28.130230   -2.283756  -75.797324    6.832953  -29.442339  -26.953087  -27.462523  -40.550437    7.720600  -28.249131   12.020643  -27.726974   30.019707  -30.014455  -34.492535  -60.836434  -62.616755    1.420662   45.571492  -20.167571    0.858560   64.258019  -24.000870   19.607298  -53.139493
  -28.139239   50.043405  -24.505771   -2.378245   28.867114  -21.014831  -20.365183  -28.103266   -2.294532  -75.992845    6.590396  -29.719620  -26.851128  -27.449561  -40.392646    7.968962  -28.257067   12.334823  -27.745964   29.953296  -30.040667  -34.648727  -60.526068  -62.422889    1.110086   45.737751  -20.012282    0.570126   64.048059  -23.979315   19.368359  -53.255392
  -28.154830   50.291587  -24.527009   -2.456202   29.037164  -21.065937  -20.321507  -28.075931   -2.306337  -76.185900    6.348302  -29.996419  -26.748545  -27.436608  -40.234185    8.217799  -28.264905   12.648851  -27.764763   29.884808  -30.067029  -34.804251  -60.215435  -62.229293    0.799458   45.902276  -19.856115    0.281485   63.836665  -23.957659   19.128669  -53.370831
  -28.170457   50.538664  -24.548156   -2.534921   29.205646  -21.116520  -20.277471  -28.048220   -2.319170  -76.376341    6.106683  -30.272730  -26.645335  -27.423664  -40.075055    8.467100  -28.272646   12.962727  -27.783372   29.814249  -30.093543  -34.959106  -59.904537  -62.035987    0.488781   46.065045  -19.699073   -0.007360   63.623873  -23.935902   18.888237  -53.485817
  -28.186122   50.784620  -24.569213   -2.614394   29.372544  -21.166589  -20.233073  -28.020130   -2.333029  -76.564012    5.865552  -30.548543  -26.541498  -27.410727  -39.915255    8.716853  -28.280288   13.276449  -27.801794   29.741628  -30.120210  -35.113292  -59.593379  -61.842989    0.178056   46.226032  -19.541161   -0.296403   63.409717  -23.914043   18.647075  -53.600358
  -28.201825   51.029436  -24.590181   -2.694613   29.537842  -21.216151  -20.188307  -27.991658   -2.347912  -76.748750    5.624921  -30.823848  -26.437030  -27.397799  -39.754785    8.967048  -28.287833   13.590015  -27.820029   29.666951  -30.147031  -35.266808  -59.281964  -61.650316   -0.132715   46.385214  -19.382383   -0.585639   63.194231  -23.892079   18.405191  -53.714460
  -28.217567   51.273094  -24.611060   -2.775567   29.701524  -21.265215  -20.143171  -27.962800   -2.363817  -76.930387    5.384804  -31.098638  -26.331930  -27.384879  -39.593645    9.217673  -28.295281   13.903423  -27.838079   29.590226  -30.174007  -35.419654  -58.970294  -61.457985   -0.443530   46.542567  -19.222744   -0.875064   62.977447  -23.870011   18.162596  -53.828133
  -28.233347   51.515576  -24.631853   -2.857249   29.863575  -21.313787  -20.097660  -27.933553   -2.380743  -77.108745    5.145213  -31.372902  -26.226197  -27.371967  -39.431836    9.468718  -28.302632   14.216670  -27.855944   29.511462  -30.201140  -35.571829  -58.658373  -61.266014   -0.754388   46.698065  -19.062247   -1.164673   62.759397  -23.847837   17.919301  -53.941383
  -28.249166   51.756861  -24.652560   -2.939650   30.023980  -21.361875  -20.051770  -27.903912   -2.398687  -77.283643    4.906162  -31.646631  -26.119828  -27.359063  -39.269358    9.720172  -28.309885   14.529756  -27.873626   29.430665  -30.228432  -35.723335  -58.346205  -61.074419   -1.065285   46.851686  -18.900898   -1.454461   62.540113  -23.825555   17.675314  -54.054219
  -28.265025   51.996930  -24.673183   -3.022760   30.182721  -21.409486  -20.005498  -27.873874   -2.417647  -77.454890    4.667662  -31.919816  -26.012823  -27.346167  -39.106211    9.972022  -28.317042   14.842678  -27.891126   29.347846  -30.255883  -35.874171  -58.033792  -60.883216   -1.376221   47.003404  -18.738700   -1.744423   62.319625  -23.803164   17.430646  -54.166648
  -28.280923   52.235765  -24.693723   -3.106571   30.339784  -21.456627  -19.958840  -27.843435   -2.437620  -77.622289    4.429726  -32.192446  -25.905180  -27.333278  -38.942395   10.224259  -28.324102   15.155434  -27.908446   29.263011  -30.283495  -36.024337  -57.721137  -60.692421   -1.687194   47.153195  -18.575657   -2.034554   62.097962  -23.780664   17.185306  -54.278678
  -28.296862   52.473344  -24.714180   -3.191073   30.495152  -21.503307  -19.911792  -27.812592   -2.458604  -77.785635    4.192368  -32.464512  -25.796897  -27.320396  -38.777912   10.476871  -28.331065   15.468023  -27.925586   29.176170  -30.311269  -36.173833  -57.408245  -60.502048   -1.998201   47.301034  -18.411775   -2.324851   61.875153  -23.758053   16.939305  -54.390316
  -28.312840   52.709647  -24.734557   -3.276257   30.648811  -21.549531  -19.864349  -27.781341   -2.480596  -77.944718    3.955600  -32.736004  -25.687974  -27.307522  -38.612762   10.729847  -28.337932   15.780441  -27.942547   29.087332  -30.339207  -36.322660  -57.095117  -60.312113   -2.309241   47.446898  -18.247057   -2.615307   61.651225  -23.735330   16.692651  -54.501572
  -28.328860   52.944653  -24.754853   -3.362114   30.800743  -21.595306  -19.816507  -27.749677   -2.503593  -78.099321    3.719435  -33.006911  -25.578409  -27.294655  -38.446946   10.983176  -28.344703   16.092688  -27.959331   28.996505  -30.367310  -36.470818  -56.781758  -60.122629   -2.620312   47.590762  -18.081507   -2.905920   61.426206  -23.712494   16.445354  -54.612453
  -28.344920   53.178341  -24.775070   -3.448635   30.950933  -21.640639  -19.768264  -27.717598   -2.527592  -78.249221    3.483885  -33.277224  -25.468202  -27.281794  -38.280464   11.236847  -28.351378   16.404761  -27.975939   28.903700  -30.395580  -36.618309  -56.468169  -59.933611   -2.931411   47.732600  -17.915131   -3.196683   61.200122  -23.689542   16.197423  -54.722967
  -28.361022   53.410688  -24.795210   -3.535811   31.099366  -21.685537  -19.719614  -27.685099   -2.552591  -78.394189    3.248964  -33.546930  -25.357351  -27.268941  -38.113317   11.490848  -28.357956   16.716658  -27.992371   28.808926  -30.424017  -36.765131  -56.154355  -59.745073   -3.242538   47.872390  -17.747931   -3.487593   60.972998  -23.666475   15.948868  -54.833122
  -28.377166   53.641674  -24.815273   -3.623631   31.246025  -21.730007  -19.670554  -27.652175   -2.578586  -78.533992    3.014683  -33.816021  -25.245856  -27.256094  -37.945506   11.745169  -28.364439   17.028377  -28.008629   28.712192  -30.452623  -36.911288  -55.840317  -59.557027   -3.553690   48.010105  -17.579914   -3.778644   60.744860  -23.643290   15.699697  -54.942927
  -28.393352   53.871275  -24.835261   -3.712088   31.390896  -21.774054  -19.621079  -27.618824   -2.605574  -78.668392    2.781056  -34.084485  -25.133716  -27.243254  -37.777033   11.999799  -28.370826   17.339916  -28.024715   28.613509  -30.481400  -37.056778  -55.526060  -59.369486   -3.864865   48.145723  -17.411083   -4.069833   60.515732  -23.619987   15.449920  -55.052390
  -28.409580   54.099468  -24.855174   -3.801170   31.533961  -21.817685  -19.571185  -27.585041   -2.633551  -78.797148    2.548095  -34.352310  -25.020931  -27.230420  -37.607898   12.254725  -28.377118   17.651273  -28.040628   28.512886  -30.510349  -37.201604  -55.211585  -59.182464   -4.176061   48.279218  -17.241442   -4.361155   60.285637  -23.596564   15.199546  -55.161520
  -28.425851   54.326230  -24.875014   -3.890870   31.675206  -21.860907  -19.520869  -27.550822   -2.662513  -78.920016    2.315813  -34.619486  -24.907500  -27.217592  -37.438103   12.509938  -28.383314   17.962446  -28.056370   28.410335  -30.539471  -37.345766  -54.896897  -58.995973   -4.487276   48.410566  -17.070995   -4.652605   60.054598  -23.573019   14.948583  -55.270323
  -28.442165   54.551537  -24.894781   -3.981176   31.814615  -21.903725  -19.470126  -27.516164   -2.692458  -79.036752    2.084223  -34.886001  -24.793423  -27.204770  -37.267649   12.765425  -28.389416   18.273432  -28.071943   28.305864  -30.568767  -37.489265  -54.581997  -58.810023   -4.798509   48.539743  -16.899748   -4.944179   59.822638  -23.549352   14.697040  -55.378810
  -28.458523   54.775366  -24.914477   -4.072080   31.952172  -21.946145  -19.418952  -27.481061   -2.723380  -79.147112    1.853337  -35.151843  -24.678700  -27.191954  -37.096537   13.021175  -28.395422   18.584230  -28.087346   28.199486  -30.598239  -37.632104  -54.266888  -58.624628   -5.109756   48.666725  -16.727705   -5.235873   59.589778  -23.525562   14.444927  -55.486989
  -28.474924   54.997691  -24.934102   -4.163572   32.087862  -21.988174  -19.367343  -27.445510   -2.755277  -79.250852    1.623167  -35.417001  -24.563331  -27.179144  -36.924768   13.277178  -28.401333   18.894837  -28.102582   28.091210  -30.627889  -37.774283  -53.951574  -58.439798   -5.421018   48.791488  -16.554869   -5.527682   59.356040  -23.501646   14.192251  -55.594868
  -28.491370   55.218487  -24.953658   -4.255643   32.221669  -22.029817  -19.315294  -27.409507   -2.788144  -79.347733    1.393726  -35.681463  -24.447315  -27.166340  -36.752345   13.533422  -28.407150   19.205251  -28.117650   27.981048  -30.657717  -37.915803  -53.636057  -58.255544   -5.732290   48.914008  -16.381245   -5.819602   59.121443  -23.477603   13.939022  -55.702455
  -28.507860   55.437730  -24.973146   -4.348282   32.353578  -22.071079  -19.262801  -27.373048   -2.821977  -79.437519    1.165028  -35.945217  -24.330653  -27.153541  -36.579268   13.789896  -28.412871   19.515470  -28.132553   27.869011  -30.687725  -38.056667  -53.320341  -58.071877   -6.043572   49.034261  -16.206838   -6.111628   58.886008  -23.453432   13.685247  -55.809760
  -28.524395   55.655392  -24.992567   -4.441480   32.483573  -22.111968  -19.209861  -27.336128   -2.856771  -79.519982    0.937083  -36.208249  -24.213345  -27.140747  -36.405540   14.046588  -28.418499   19.825491  -28.147290   27.755111  -30.717913  -38.196876  -53.004427  -57.888808   -6.354861   49.152223  -16.031652   -6.403757   58.649754  -23.429133   13.430935  -55.916791
  -28.540976   55.871449  -25.011921   -4.535227   32.611639  -22.152487  -19.156469  -27.298743   -2.892522  -79.594902    0.709905  -36.470548  -24.095392  -27.127958  -36.231162   14.303488  -28.424032   20.135313  -28.161863   27.639358  -30.748285  -38.336433  -52.688318  -57.706346   -6.666155   49.267871  -15.855691   -6.695983   58.412700  -23.404702   13.176095  -56.023557
  -28.557602   56.085872  -25.031211   -4.629514   32.737762  -22.192644  -19.102620  -27.260888   -2.929226  -79.662069    0.483506  -36.732101  -23.976793  -27.115174  -36.056136   14.560583  -28.429471   20.444932  -28.176274   27.521764  -30.778840  -38.475338  -52.372018  -57.524501   -6.977452   49.381182  -15.678960   -6.988303   58.174865  -23.380139   12.920734  -56.130066
  -28.574273   56.298635  -25.050436   -4.724330   32.861925  -22.232442  -19.048311  -27.222561   -2.966877  -79.721284    0.257899  -36.992895  -23.857550  -27.102395  -35.880464   14.817862  -28.434817   20.754348  -28.190522   27.402341  -30.809580  -38.613594  -52.055529  -57.343284   -7.288750   49.492133  -15.501462   -7.280712   57.936266  -23.355443   12.664861  -56.236327
  -28.590992   56.509710  -25.069597   -4.819665   32.984114  -22.271887  -18.993537  -27.183755   -3.005472  -79.772366    0.033095  -37.252917  -23.737663  -27.089620  -35.704148   15.075315  -28.440068   21.063556  -28.204608   27.281101  -30.840507  -38.751204  -51.738854  -57.162703   -7.600048   49.600699  -15.323203   -7.573207   57.696921  -23.330611   12.408484  -56.342349
  -28.607756   56.719070  -25.088697   -4.915511   33.104314  -22.310985  -18.938294  -27.144467   -3.045005  -79.815146   -0.190893  -37.512153  -23.617133  -27.076850  -35.527189   15.332930  -28.445226   21.372556  -28.218534   27.158057  -30.871621  -38.888169  -51.421995  -56.982767   -7.911342   49.706860  -15.144186   -7.865782   57.456846  -23.305644   12.151611  -56.448142
