       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
   29.063414   22.014895   30.931125   41.799826  -58.741339   21.950172   26.592862   39.521198   28.834148   80.537565    0.788699  -39.826025   -4.000774   26.961412  -34.790932   58.964162   24.199783   51.904227   20.088601  -20.084921   31.304082   83.530346   11.985193   -6.950346   -5.743589   97.484371   68.819031   88.233696  -32.021212   24.922245  103.464381   79.950201
   29.074258   21.782486   30.925531   41.854982  -58.524505   21.976974   26.595365   39.592387   28.907330   81.351250    0.916303  -39.956830   -4.094960   26.970148  -34.923539   59.091340   24.221994   51.868393   20.127177  -19.809152   31.336578   83.406016   11.951312   -6.704226   -5.782836   97.820389   68.953652   88.202562  -32.400834   24.918588  103.342814   79.772780
   29.085208   21.546712   30.919976   41.909459  -58.305769   22.003487   26.597947   39.663920   28.980416   82.189647    1.043503  -40.089263   -4.189130   26.978813  -35.055651   59.218837   24.244185   51.832294   20.165618  -19.533892   31.369454   83.281223   11.918372   -6.462310   -5.822146   98.159100   69.087693   88.172376  -32.773461   24.914909  103.222828   79.595423
   29.096266   21.307525   30.914461   41.963252  -58.085133   22.029717   26.600611   39.735798   29.053399   83.053511    1.170306  -40.223346   -4.283272   26.987407  -35.187262   59.346660   24.266357   51.795922   20.203925  -19.259164   31.402714   83.155974   11.886347   -6.224503   -5.861528   98.500509   69.221153   88.143134  -33.139217   24.911209  103.104414   79.418138
   29.107433   21.064876   30.908985   42.016358  -57.862597   22.055667   26.603359   39.808021   29.126271   83.943594    1.296719  -40.359100   -4.377379   26.995931  -35.318365   59.474816   24.288509   51.759267   20.242099  -18.984988   31.436363   83.030276   11.855207   -5.990715   -5.900990   98.844620   69.354031   88.114828  -33.498228   24.907489  102.987562   79.240936
   29.118710   20.818717   30.903550   42.068773  -57.638164   22.081341   26.606191   39.880593   29.199024   84.860643    1.422747  -40.496547   -4.471441   27.004385  -35.448952   59.603315   24.310642   51.722320   20.280141  -18.711385   31.470406   82.904138   11.824927   -5.760858   -5.940538   99.191433   69.486327   88.087455  -33.850618   24.903748  102.872261   79.063824
   29.130098   20.568998   30.898155   42.120494  -57.411835   22.106744   26.609109   39.953512   29.271650   85.805395    1.548397  -40.635707   -4.565449   27.012771  -35.579017   59.732163   24.332755   51.685074   20.318054  -18.438376   31.504849   82.777569   11.795482   -5.534845   -5.980181   99.540949   69.618041   88.061008  -34.196508   24.899986  102.758502   78.886813
   29.141597   20.315669   30.892799   42.171516  -57.183613   22.131879   26.612116   40.026782   29.344141   86.778567    1.673675  -40.776604   -4.659394   27.021088  -35.708553   59.861370   24.354849   51.647519   20.355836  -18.165980   31.539696   82.650575   11.766847   -5.312594   -6.019928   99.893169   69.749171   88.035483  -34.536022   24.896205  102.646275   78.709910
   29.153210   20.058681   30.887484   42.221837  -56.953500   22.156750   26.615212   40.100402   29.416488   87.780857    1.798585  -40.919259   -4.753266   27.029337  -35.837553   59.990944   24.376922   51.609647   20.393490  -17.894217   31.574954   82.523166   11.738999   -5.094022   -6.059784  100.248091   69.879718   88.010873  -34.869277   24.892404  102.535570   78.533124
   29.164936   19.797983   30.882210   42.271452  -56.721501   22.181360   26.618400   40.174374   29.488685   88.812929    1.923134  -41.063694   -4.847056   27.037518  -35.966010   60.120893   24.398976   51.571448   20.431017  -17.623106   31.610628   82.395350   11.711914   -4.879051   -6.099760  100.605713   70.009682   87.987175  -35.196392   24.888584  102.426378   78.356464
