 Epoch \ PRN        G01        G02        G03        G04        G05        G06        G07        G08        G09        G10        G11        G12        G13        G14        G15        G16        G17        G18        G19        G20        G21        G22        G23        G24        G25        G26        G27        G28        G29        G30        G31        G32
 Epoch 0001:    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000
 Epoch 0002:    0.00000    0.00000    0.00000    9.68255    0.00000   17.27362   17.61294    0.00000   13.26997    0.00000    6.96963    0.00000    0.00000    0.00000    0.00000    8.74216    0.00000    0.00000    0.00000    8.67187    0.00000    0.00000    0.00000    0.00000    0.00000    7.70706    0.00000    0.00000    9.23653   16.06117    0.00000    0.00000
 Epoch 0003:    0.00000    0.00000    0.00000    8.77889    0.00000   17.44315   17.63184    0.00000   13.79752    0.00000    8.04342    0.00000    0.00000    0.00000    0.00000    8.19821    0.00000    0.00000    0.00000    9.86331    0.00000    0.00000    0.00000    0.00000    0.00000    7.67533    0.00000    0.00000    8.25804   16.01939    0.00000    0.00000
 Epoch 0004:    0.00000    0.00000    0.00000    8.20796    0.00000   18.01147   17.40093    0.00000   13.37032    0.00000    9.26533    0.00000    0.00000    0.00000    0.00000    7.60555    0.00000    0.00000    0.00000   10.88406    0.00000    0.00000    0.00000    0.00000    0.00000    7.16252    0.00000    0.00000    8.06114   15.99547    0.00000    0.00000
 Epoch 0005:    0.00000    0.00000    0.00000    7.59036    0.00000   17.93221   17.43198    0.00000   13.35445    0.00000    9.35572    0.00000    0.00000    0.00000    0.00000    7.36785    0.00000    0.00000    0.00000   10.16038    0.00000    0.00000    0.00000    0.00000    0.00000    7.48713    0.00000    0.00000    8.58760   16.00278    0.00000    0.00000
 Epoch 0006:    0.00000    0.00000    0.00000    8.22428    0.00000   16.82174   16.26828    0.00000   13.71088    0.00000    9.55603    0.00000    0.00000    0.00000    0.00000    7.83131    0.00000    0.00000    0.00000   10.80380    0.00000    0.00000    0.00000    0.00000    0.00000    8.90481    0.00000    0.00000    9.54097   14.96808    0.00000    0.00000
 Epoch 0007:    0.00000    0.00000    0.00000    8.69179    9.97803   16.63756   16.05791    0.00000   13.81817    0.00000    9.68849    0.00000    0.00000    0.00000    0.00000    8.60279    0.00000    0.00000    0.00000   11.31786    0.00000    0.00000    0.00000    0.00000    0.00000    9.64245    0.00000    0.00000   10.34543   14.92420    0.00000    0.00000
 Epoch 0008:    0.00000    0.00000    0.00000    8.75746    9.38089   16.40784   15.83242    0.00000   13.86459    0.00000    9.85329    0.00000    0.00000    0.00000    0.00000    8.84594    0.00000    0.00000    0.00000   11.59456    0.00000    0.00000    0.00000    0.00000    0.00000   10.01092    0.00000    0.00000   10.65005   14.76152    0.00000    0.00000
 Epoch 0009:    0.00000    0.00000    0.00000    8.93751    9.55723   16.33095   15.82873    0.00000   14.01738    0.00000    9.99045    0.00000    0.00000    0.00000    0.00000    9.01281    0.00000    0.00000    0.00000   11.71627    0.00000    0.00000    0.00000    0.00000    0.00000   10.26292    0.00000    0.00000   11.01496   14.71537    0.00000    0.00000
 Epoch 0010:    0.00000    0.00000    0.00000    9.09395   10.19331   16.12521   15.81547    0.00000   14.01787    0.00000    9.62131    0.00000    0.00000    0.00000    0.00000    9.22099    0.00000    0.00000    0.00000   11.49103    0.00000    0.00000    0.00000    0.00000    0.00000   10.51639    0.00000    0.00000   11.31519   14.70283    0.00000    0.00000
