       PRN01       PRN02       PRN03       PRN04       PRN05       PRN06       PRN07       PRN08       PRN09       PRN10       PRN11       PRN12       PRN13       PRN14       PRN15       PRN16       PRN17       PRN18       PRN19       PRN20       PRN21       PRN22       PRN23       PRN24       PRN25       PRN26       PRN27       PRN28       PRN29       PRN30       PRN31       PRN32
   -8.912410   78.780928   43.308041   53.270468   58.500734   49.545973   50.431682   13.836930   52.684535  -47.022103   52.762193   20.933352   32.724484    5.520529    7.604322   55.212253    4.138947   59.650370   22.754892   54.673838  -26.199979    9.027677  -13.721725  -42.670470   48.894874   61.844709   37.721533   50.268398   63.068171   46.684040   69.248749  -26.109597
   -9.158010   78.594948   43.193547   53.269718   58.470922   49.519478   50.448790   14.089994   52.686479  -46.823983   52.745519   20.641921   32.955055    5.746617    7.887097   55.235056    3.920395   59.978771   22.519550   54.657787  -26.319830    8.719260  -13.415903  -42.667656   48.604104   61.905833   37.968499   49.955210   63.043692   46.733304   69.086585  -26.393894
   -9.402700   78.408158   43.077566   53.268881   58.440757   49.492784   50.465809   14.343229   52.688369  -46.624027   52.728841   20.350508   33.184455    5.973438    8.169826   55.257859    3.702689   60.306942   22.283937   54.641787  -26.437521    8.410807  -13.109762  -42.662348   48.312866   61.967604   38.214668   49.641568   63.019580   46.782028   68.920800  -26.677691
   -9.646469   78.220692   42.960083   53.267957   58.410263   49.465888   50.482740   14.596626   52.690205  -46.422258   52.712160   20.059118   33.412671    6.200977    8.452505   55.280664    3.485841   60.634879   22.048071   54.625838  -26.553039    8.102322  -12.803303  -42.654548   48.021172   62.030029   38.460028   49.327486   62.995834   46.830220   68.751461  -26.960981
   -9.889305   78.032673   42.841085   53.266946   58.379461   49.438786   50.499584   14.850174   52.691988  -46.218701   52.695474   19.767758   33.639688    6.429222    8.735128   55.303475    3.269864   60.962576   21.811968   54.609939  -26.666372    7.793808  -12.496530  -42.644256   47.729029   62.093116   38.704564   49.012974   62.972448   46.877889   68.578635  -27.243757
  -10.131197   77.844218   42.720560   53.265845   58.348371   49.411476   50.516342   15.103864   52.693716  -46.013380   52.678783   19.476434   33.865493    6.658161    9.017690   55.326293    3.054772   61.290028   21.575645   54.594090  -26.777507    7.485269  -12.189447  -42.631474   47.436449   62.156875   38.948264   48.698045   62.949419   46.925041   68.402387  -27.526012
  -10.372133   77.655436   42.598493   53.264655   58.317014   49.383955   50.533016   15.357684   52.695391  -45.806320   52.662086   19.185152   34.090073    6.887779    9.300186   55.349121    2.840576   61.617230   21.339117   54.578290  -26.886434    7.176709  -11.882058  -42.616205   47.143440   62.221314   39.191113   48.382710   62.926743   46.971686   68.222785  -27.807739
  -10.612101   77.466431   42.474873   53.263374   58.285410   49.356220   50.549606   15.611625   52.697011  -45.597543   52.645381   18.893920   34.313412    7.118064    9.582611   55.371962    2.627290   61.944175   21.102402   54.562540  -26.993139    6.868132  -11.574365  -42.598451   46.850012   62.286442   39.433097   48.066980   62.904416   47.017831   68.039896  -28.088930
  -10.851090   77.277299   42.349686   53.262000   58.253577   49.328267   50.566113   15.865677   52.698578  -45.387073   52.628668   18.602742   34.535499    7.349003    9.864960   55.394818    2.414926   62.270857   20.865515   54.546837  -27.097612    6.559542  -11.266372  -42.578216   46.556173   62.352267   39.674203   47.750865   62.882435   47.063484   67.853785  -28.369578
  -11.089089   77.088131   42.222921   53.260534   58.221533   49.300094   50.582537   16.119829   52.700089  -45.174935   52.611946   18.311625   34.756319    7.580581   10.147227   55.417692    2.203496   62.597272   20.628473   54.531183  -27.199840    6.250941  -10.958082  -42.555502   46.261933   62.418799   39.914417   47.434376   62.860795   47.108651   67.664520  -28.649675
